title,price,detail,ISBN,review
" Jacksonland: President Andrew Jackson, Cherokee Chief John Ross, and a Great American Land Grab ",    $0.00   ,Jacksonland,,"[('Amazon Customer', ""Most people where I am from have at least heard of the Trail of Tears. I'd say 80% of those people don't know the extent to which this exodus devastated native Nations and mired them in distrust. This book offers a window with a wide view, touching a little on many other nations, but focusing on John Ross, Principle Cheif for the Cherokee, and Andrew Jackson, U.S. general and President. The author draws lines between them for their situations in early life, battles fought together, tenacity, and desire to do what they thought their people wanted. He then drives them apart with Jackson's betray, broken promises, deceit, selfishness, and tangled legal web. The mere fact that Jackson withheld his veto (by a day) on a bill his supporters wanted, just to approve an illegitimate treaty, speaks volumes. It's maddening to know how close Ross was to success. Just a vote--if only the voters had realized they were about to sacrifice their moral compass just to cast their lots with someone who would betray their interests as well.""), ('Danielle', ""I found this book a great resource on all the legal avenues and order of events. It uncovered some great, underlying problems that I hadn't considered in my research.""), ('J. Bristow', ""If people tell you a war was fought over state's rights, they are right, and I hate to admit it. It brewed for decades. A state's right beat, swindle, dispose of, destroy, and displace people who legally live within its perceived borders. To hold a land lottery and give away thriving farms right out from under people's feet. A state's right to ignore the Supreme Court and have Jackson turn a blind eye. The right to buy and sell human beings became the cornerstone, once natives left. Occasionally a state defies federal law in a way we consider moral, but these particular acts wouldn't stand today. At least I hope not."")]"
  8.5x11 DND Campaign Journal: 5E Character Sheet Cover Lined Notebook for DND Players Purple and Orange Fade , $8.49 ,Ships from,,
  Gumdrop Angel: An AFK Book (Five Nights at Freddy’s: Fazbear Frights #8) (8) , $7.99 ,Ships from,978-1338739985,"[('Amazon Customer', ""Overall it's a good book but I did manage to find a typo. In Sergio's Lucky Day, on pages 90-91, (in my copy at least) it mentions two right hands instead of left and right. Otherwise it's all good still.""), ('Amazon Customer', 'This book is an incredible read for young adults. The stories are outright scary, and imagining what happens to each of the three protagonists is goosebump worthy. Absolutely one of the best books in the series.'), ('Rheanna Rowland', 'Cool book lots of lore drops and stuff I’m really just gonna drag out this review I just wanted to leave 5 star review :P')]"
  Class Act (A Stone Barrington Novel Book 58) , $7.99 ,Stone Barrington takes down old and new enemies in the latest thriller from perennial fan favorite Stuart Woods.,,"[('Amazon Customer', 'Stone finds himself cross ways with jealous Mafia person and ( forced ) retired New York City Detective.  The Mafia guy upset that Stone would be with his ( he thought ) girlfriend.  But wait, she is not what she has represented herself to be! Lurking is a the Ex- Detective who never can seem to bet on the right horse losing money to a bookie and needing more to pay debts.'), ('Frank Rush', ""Enter another Mafia guy, now out of the penitentiary where he has stayed to protect the local DON's family member.  Ex Detective making life unhappy for him.""), ('S Griffin', ""Put this all together, add some more ladies to the mix along with Stone's long time friend Dino, New York Police Commissioner,  and Stuart Woods provides excitement and intrigue in a book not to be put down until finished."")]"
  Shapes (Little Scholastic) , $10.92 ,From Little Scholastic comes this innovative and interactive shapes concept book for babies and toddlers!,978-0439021463,"[('C. Pascua', ""I love all the board books in this line. There's consistency in each one, with similar or exactly the same textures and names. It helps solidify the terms in my son's mind. He recognizes the similarities and can easily decipher each thing.""), ('SmR', 'Not Happy, content good but came in very bad shape. Penn marks, dirty and edges are worn out.'), ('RK', 'Price on book is $4.99, I paid over $10.00 with shipping. No quality control!')]"
"  FAIRIES IN A JAR COLORING BOOK FOR ALL AGES: Magical Fairies inside A Jar , Beautiful Illustrations For All Ages . ",Out of Print--Limited Availability.,With,979-8875826245,
  One-Eyed Dream: A Novel (Titus Bass) ,                                             ,One-Eyed Dream,978-0553281392,"[('D. H.', 'I have enjoyed the Titus Bass series by Terry C. Johnston. Think ""Jeremiah Johnson"" spread over nine books. The author tells a good story and has backed it up with research on the fur trapper era. It is too bad he passed away so early.'), ('Kindle Customer', 'Regrettably the middle three books (which were actually the first three written, something like the Star Wars films) are not available in a kindle/e-book format. (Hint! Hint!) I wanted an inexpensive copy to take on a vacation where I could donate, abandon or dispose of the book rather than worry about packing it when I am done. This was the least expensive copy available on Amazon\'s third party sellers at $1.13 + S&H. The seller, Clean Earth Books, rated it as ""Used-acceptable,"" which was what I was looking for. I am happy to say it arrived earlier than the predicted delivery window and was frankly in pretty good condition, much better than I expected. I may even bring it home from vacation.'), ('Kindle Customer', 'If you are a student of history and the development of American western frontier all 10 of these books are very good, informative and a great story of a young man as he grows older and wiser. Johnston, in my opinion is a master of early American western history and storytelling with facts. They must be read in the following order to get the full story:')]"
  Touched By The Devil : Touch Aversion-Trauma Romance (Boys of Preston Prep Book 3) ,    $0.00   ,"After living with my stepfather, I have one rule: Keep your damn hands to yourself.",,"[('Alicia S', '♥️ 📸 Touched By The Devil 📸 ♥️ (Book 3 in the Boys of Preston Prep series) by Angel Lawson & Samantha Rue'), ('Barbie', '5/5 ⭐️'), ('Jennifer', '2/5 🌶️')]"
  27 Truths: Ava's story (The Truth About Love Book 1) ,    $0.00   ,"From USA Today Bestselling author, MJ Fields, comes a gripping story of love and its many truths.",,"[('Just Juls', 'Sometimes you discover that love has always been a part of your life. For as long as Ava can remember, Luke has been a part of her life. With families that have vacationed together, celebrated birthdays, and gone through tragedies that shaped the future – these two know just how vital the other is in their life. Nothing could shake the pedestal that Ava put Luke upon throughout the years. Until one fateful night by the pool changes everything……'), ('jhfreeborn', 'Taking things to the next level was always the plan where Ava was concerned. After all, patience had played a big part in holding on for the day that Luke would see Ava as more than just a friend. What transpired wasn’t what Ava had in mind, a no strings sexual relationship that had to be free of emotion. Years passed while the two met several times a year to give into their needs, but all of that changed the moment Ava confessed that this meant more than just a fling.'), ('Justirishgirl', 'Shattered from the cutting words that came from Luke, Ava turns to the one person that has tempted her to find love over the course of those seven years. Thomas is the complete opposite of Luke. The rugged rocker could have any female that lines up at his door, but that doesn’t keep him from wanting to make Ava the center of his universe. Determined to bring sunshine back into Ava’s life, Thomas opens the door to all the possibilities that he can offer a woman who clearly should have been worshipped all these years. Making Ava forget the past is easier said than done, but nothing will prepare the two for the journey that their lives will take from this point forward.')]"
  I can do It From Zero: planner book.A Daily Gratitude Journal for Kids.fitnss clandrie for your life and good body , $5.90 ,Ships from,979-8541913453,
  Priscilla Filet Crochet Book 1911: A Collection of Beautiful Designs in Filet Crochet , $3.99 ,"Priscilla Filet Crochet Book by Belle Robinson from the year 1911. 48 pages of a large collection of beautiful designs in filet crochet, equally adapted to cross stitch, beads and canvas with working directions. Some patterns and working models include pillows (baby, peacock, etc.), heart of flower, guest towels, flower doily, centerpiece, luncheon cloth, baby's bonnet, bedspread, hand bag, deer hunt, and many other designs especially of flowers, animals, and words.",,"[('Karen, NC', 'A great book. However it would be better in hard copy. These pattern grids are too difficult on a tablet or laptop.')]"
  6 x 9 Airplane Covered Notebook: 6 x 9 150 Page Airplane Covered Notebook , $7.75 ,Ships from,979-8761585409,
"  Six Great Dialogues: Apology, Crito, Phaedo, Phaedrus, Symposium, The Republic (Dover Thrift Editions: Philosophy) ", $6.99 ,Ships from,9780486454658,"[('Amazon Customer', ""It is common knowledge that Confucius, Socrates, Plato, Aristotle an a few others were great philosophers.  When we read that I.Q. scores have been rising, why doesn't common knowledge lead us to name the best professors of philosophy at the best universities of the modern world as being great and important to study?  This book has a clear, well structured text that can with some deep thought (often interfered with by multiple sources of noise and distractions) reveal why Plato was great and many highly educated philosophers seem to fall short.  The font used is a bit small and the margins too narrow but a real scholar reading this will be rewarded.""), ('Ben J Korgen', 'What a deal! The Republic and some of my favorite dialogs in a practically free book. Font is a teeny bit small but print is clear and readable, paper so-so, pages pushed close to the margin. Jowett translation was a standard for years and is fine. This is a no-brainer. Thank you, again, Dover. Wish this were available in a deluxe edition. Be sure to check out the other Dover editions that have a couple of dialogs each. Like this:\xa0'), ('BL', 'This is an intense book.  Needs one to spend the time to digest what is being said. That said, it amazes me how much the Greeks knew 2500 years back -- the good and evil were argued, though not always with rational logic, much like what happens today in DC!')]"
"  Homeschool Planner: Daily Assignment Tracker and Record Book.A Well Planned Year for Your Elementary, Middle School, Jr. High, or High School Student | Organization and Lesson Planner| ", $6.99 ,Ships from,979-8456580139,
  Lots of Knock Knock Jokes for Kids: Hilariously Corny Jokes for Kids and the Whole Family , $3.99 ,Ships from,979-8630651792,
  Address book with tabs: Amazing Flower Design Address JournalContact Notebook OrganizerAddress Log BookA-Z Alphabetical Tabs , $5.35 ,Ships from,978-1716279775,
"  3 IN 1 COLORING BOOK: FLOWER,ANIMAL,AND MANDLA Have Been Included in THIS BEAUTIFUL COLORING BOOK.A Coloring Book to Paint, Explore, and Discover ... featured in this mature and also kids color. ", $3.70 ,Ships from,979-8836412548,
  When You Hear Meow , $3.99 ,Excerpt from the book:,,"[('Judith', 'Alec the Cat and Ted-D Bear come to life in ""When You Hear Meow."" I especially enjoyed getting to know Ted-D, the younger brother of Alec. The two of them have many insights regarding the lives of their human parents, Don and Gloria. Through their eyes we share in the love of family and life\'s simple pleasures, and we also share poignant life events. My heart ached for little Ted-D in several sections of the book but I also sensed his happiness with his beloved family. Enjoy!'), ('William A. Schultz', ""The author is from Wisconsin and I give him credit for writing books.  It's an OK story that gets emotional at the end.  I think a better job of editing was needed.""), ('Cindy Rutherford', 'Such a sweet kind book. I smiled and cried with the characters. If you love cats, you will love this story. It will stay with me a long time.')]"
  Bird Watching Log Book: Bird Watching Journal and Log Book.A Gift for Watchers and Birders of Any to Record Sightings(Bird Journal For Bird Watching) , $5.99 ,Ships from,,
  Recipe Journal Book: My Favorite Recipes Book-A Book Collect the Recipes You Love in Your Own Custom Cookbook. , $5.90 ,Ships from,,
"  Christ Jesus Came Into The World To Save Sinners Sketch Book: ravel Size Framed Blank Page Art, Sketch and Doodle Book (CQS.0241) ", $8.99 ,Ships from,978-1096122753,
  My Spiritual Diary , $6.24 ,"This is an intimate, honest, humble accounting of one soul to its Creator. Writing in diary form, Dale Evans Rogers tells of the long, hard road from defeat to ultimate victory - a road she has known so well.",978-0800702151,"[('Amazon Customer', 'Was exactly what I expected, thank you great book!'), ('AJ Delagarza', 'VERY GOOD BOOK! FAST DELIVERY!  VERY SATISFIED!  THANKS!'), ('mary lou', ""I came across this book by accident and was delighted when I opened it and found that it had been written by Roy Roger's wife Dale Evans! It is a wonderful book of stories taken from their life and how spiritual quotations from the Bible applied to so many instances when they needed help as they traveled and performed. This is a really interesting collectible that should be treasured."")]"
  T.M.T.N: Kissing Cousins (Teaching Between Midnight & Dawn; A New Age...We Run this World... Book 2) ,    $0.00   ,Who Said Twins Were Just Alike...,,
"  Happy Easter Coloring Book for Kids: 52 Big & Easy Easter Coloring Book for Toddlers, Preschool Children, & Kindergarten, Include Bunny, Big Egg, Funny Animals & More ",Out of Print--Limited Availability.,"Spring is in the air and at this special time of year, children love to celebrate the wonder of Easter. This",979-8704578987,
  Halloween Activity Book for Kids ,Out of Print--Limited Availability.,Happy Halloween Coloring and Activity Book for Kids (New Children's Coloring Book for Halloween) - 50 ILLUSTRATIONS.,979-8484475179,
  Classic and American muscle cars : Adult coloring book: A Book of Cars - A Great Coloring Book for Adults and Teens who Love Cars ,Out of Print--Limited Availability.,"Classic Cars is an adult coloring book, but is great for any age",979-8770424515,
  Fishing journal for cool fishermen ,Out of Print--Limited Availability.,A fishing diary to keep track of your fishing trips.,979-8407060987,
"  Phone Call Log Book: Message Book With Over 550 Call Log Space, 4 Sets per Page ",Out of Print--Limited Availability.,What makes this logbook useful for you;,979-8804094004,
  A Tale of Two Cities Illustrated , $2.99 ,"A Tale of Two Cities (1859) is the second historical novel by Charles Dickens, set in London and Paris before and during the French Revolution. It depicts the plight of the French proletariat under the brutal oppression of t+E3he French aristocracy in the years leading up to the revolution, and the corresponding savage brutality demonstrated by the revolutionaries toward the former aristocrats in the early years of the revolution. It follows the lives of several protagonists through these events, most notably Charles Darnay, a French once-aristocrat who falls victim to the indiscriminate wrath of the revolution despite his virtuous nature, and Sydney Carton, a dissipated English barrister who endeavours to redeem his ill-spent life out of love for Darnay's wife, Lucie Manette.",,
  Easter Coloring Book for Kids 3 Years Old: Fun easter eggs activity coloring book gifts for kids Toddlers & Preschool ,Out of Print--Limited Availability.,Fun easter eggs activity coloring book gifts for kids Toddlers & Preschool.,979-8704204312,
  Ebookowe sukcesy KDP: Odkryj tajniki pisania e-booków bez doświadczenia! Naucz się tworzyć ciekawe i profesjonalne ebooki od podstaw! (Polish Edition) ,Out of Print--Limited Availability.,"Czy chciałbyś dowiedzieć się, jak zarabiać na ebookach za pomocą KDP? Moja książka ""Ebookowe sukcesy KDP"" jest właśnie dla Ciebie! Dowiesz się z niej, jak stworzyć i opublikować swój ebook, nawet jeśli nie masz doświadczenia w pisaniu. Poznasz tajniki formatowania i struktury ebooka oraz dowiesz się, jak skutecznie sprzedawać swoje dzieło. Dowiesz się też, co to są ghostwriterzy i jak działa sztuczna inteligencja w procesie tworzenia ebooka. Pomogę Ci również przygotować się do publikacji i zaprezentuję usługi dla wydawców e-booków, dzięki którym Twoja książka odniesie sukces. Kup teraz naszą książkę i zacznij zarabiać na swoich ebookach!",979-8372938755,
  Dolls Mandalas Coloring Book: Great Selection of 100 Beautiful Designs for Stress Relief and Relaxation Coloring Pages with Interesting and Amazing Dolls for Adults No Ink Bleed ,Out of Print--Limited Availability.,"Ease your stress with each stroke of your colored pencil, fine-liner or pen. If you are an fervent fan of mandalas and would love a challenge in coloring them, then this book is for you! Unique designs of mandalas dolls will definitely make you wander off into coloring bliss. Book       Images designed to stimulate your artistic ambition      Each coloring page is printed on a separate page with a full blank page on the back to prevent bleed-through and allow you to easily remove and frame your favorites      White paper suitable for markers, gel pens, colored pencils, fine-liners, and watercolors      An assortment of simple and intricate designs to accommodate every skill level      Large format 8.5 x 11''      And many hours of coloring enjoyment and meditative relaxation Scroll up and click the ""Add to cart"" button to get this book today! It's time for you to create beautiful works of art!",,
"  STONER MAZE Book Vol 1: Mainly Mazes with bonus word searches, coloring pages, and a word scramble. Trippy Psychedelic Themed Puzzle book ",Out of Print--Limited Availability.,"If You’re BUZZED, BAKED, OR HIGH AS FUCK We Got You Covered!",979-8505342923,
  Ebookowe sukcesy KDP: Odkryj tajniki pisania e-booków bez doświadczenia! Naucz się tworzyć ciekawe i profesjonalne ebooki od podstaw! (Polish Edition) ,Out of Print--Limited Availability.,"Czy chciałbyś dowiedzieć się, jak zarabiać na ebookach za pomocą KDP? Moja książka ""Ebookowe sukcesy KDP"" jest właśnie dla Ciebie! Dowiesz się z niej, jak stworzyć i opublikować swój ebook, nawet jeśli nie masz doświadczenia w pisaniu. Poznasz tajniki formatowania i struktury ebooka oraz dowiesz się, jak skutecznie sprzedawać swoje dzieło. Dowiesz się też, co to są ghostwriterzy i jak działa sztuczna inteligencja w procesie tworzenia ebooka. Pomogę Ci również przygotować się do publikacji i zaprezentuję usługi dla wydawców e-booków, dzięki którym Twoja książka odniesie sukces. Kup teraz naszą książkę i zacznij zarabiać na swoich ebookach!",979-8372947283,
  Butterflies Coloring Book for Adults: An Easy and Fun Simple Large Print with Beautiful Butterfly and Flower Designs for Kids Beginners and Teens ... Designsfor Relieving Stress and Relaxation ,Out of Print--Limited Availability.,What you can find inside the book:,979-8427497183,
  Ebookowe sukcesy KDP: Odkryj tajniki pisania e-booków bez doświadczenia! Naucz się tworzyć ciekawe i profesjonalne ebooki od podstaw! (Polish Edition) ,Out of Print--Limited Availability.,"Szanowni Czytelnicy,",979-8372967533,
  The Taming of Lions ,Out of Print--Limited Availability.,"What if the key to your future was to unlock the secrets of someone else’s past? ""I was once a lion tamer...Or was it that I herded sheep?"" —is the burning question etched in Charlie Gates's mind. For a man who forgets things so easily, he seems to have an easier time recalling memories of a life that wasn't exactly his. Or was it? Struggling to piece together his forgotten past, he ends up befriending Edward Barrett, a young man who needs a little help of his own —but with his future. Through the bonds of an unexpected friendship, crossing several generations of past and present time, the two men learn that sometimes fiction, although not always real, has the power to expose the most truth. Readers of Water for Elephants and The Notebook are calling The Taming of Lions 'an inspirational and thought-provoking read!'",978-0692097571,"[('Amazon Customer', ""What I thought: Wow. Just wow. I don't read contemporary that often (when I do, it's in the romantic comedic vein of Sophie Kinsella or Helen Fielding), but I was intrigued by the premise of The Notebook meets Water for Elephants, I knew I had to give it a try. I was not disappointed. The Taming of Lions is a quieter story that will remain with you long after you've finished the book. I have so much respect for authors who can pull off symbolism in their novels without literally beating their readers in the face with it and Danie does just that (her way of bringing up her themes in the novel were on a level I don't think I could ever reach). Her characters are so well fleshed out, I felt like I was reading a memoir about real people and not a work of fiction. This is a book I don't think I can recommend enough!""), ('Marisa Tishner', 'The Quote: I was once a lion tamer...Or was it that I herded sheep?'), ('Natasha', 'Why I chose it: This was actually tough. Danie has several amazing quotes (2nd place went to: ""Too many things are carelessly throw about in this world and love should never be one of them.""), but I decided to go with the one that started it all. Pulling off a memorable first quote is hard and Danie nailed it! It\'s a line with so many layers and symbols that creep up again and again in this novel and its one of the reasons I loved it so much!')]"
  Candy Cane Cutie Daily Food Journal and Activity Tracker: Notebook 6x9 187 pages (CQS.0279) , $9.99 ,Ships from,978-1096434863,
  Find Joy In The Journey Daily Food Journal and Activity Tracker: Notebook 6x9 187 pages (CQS.0285) , $9.99 ,Ships from,978-1096434764,
  Coffee Wine Sleep Repeat Daily Food Journal and Activity Tracker: Notebook 6x9 187 pages (CQS.0284) , $9.99 ,Ships from,978-1096434818,
  I Love You To The Spoon And Back Daily Food Journal and Activity Tracker: Notebook 6x9 187 pages (CQS.0278) , $9.99 ,Ships from,978-1096434894,
  Do Something Bold Daily Running Log Tracker: Track Your Runs Mileage Pace Time Weather Notes With Weekly Summary 150 Pages CQS.0351 , $9.99 ,Ships from,978-1099765889,
  Do Something Hard Today Daily Running Log Tracker: Track Your Runs Mileage Pace Time Weather Notes With Weekly Summary 150 Pages CQS.0358 , $9.99 ,Ships from,978-1099765902,
  Hardest Part Is Opening The Front Door Daily Running Log Tracker: Track Your Runs Mileage Pace Time Weather Notes With Weekly Summary 150 Pages CQS.0362 , $9.99 ,Ships from,978-1099765964,
"  Candy Cane Wishes Mistletoe Kisses Guided Journal For Peace, Grace & Confidence: Self Awareness, Personal Growth And Improvement Notebook (CQS.0289) ", $9.99 ,Ships from,978-1096574569,
  Heaven Is Running With My Best Friend Daily Running Log Tracker: Track Your Runs Mileage Pace Time Weather Notes With Weekly Summary 150 Pages CQS.0343 , $9.99 ,Ships from,978-1099765995,
  Have Courage And Be Kind Daily Running Log Tracker: Track Your Runs Mileage Pace Time Weather Notes With Weekly Summary 150 Pages CQS.0349 , $9.99 ,Ships from,978-1099765988,
  I Get To Run Today Daily Running Log Tracker: Track Your Runs Mileage Pace Time Weather Notes With Weekly Summary 150 Pages CQS.0347 , $9.99 ,Ships from,978-1099769009,
  I Don't Have To Be Perfect Just Better Daily Running Log Tracker: Track Your Runs Mileage Pace Time Weather Notes With Weekly Summary 150 Pages CQS.0348 , $9.99 ,Ships from,978-1099766015,
  I Run Daily Running Log Tracker: Track Your Runs Mileage Pace Time Weather Notes With Weekly Summary 150 Pages CQS.0361 , $9.99 ,Ships from,978-1099769016,
"  If You Can Run, Run Daily Running Log Tracker: Track Your Runs Mileage Pace Time Weather Notes With Weekly Summary 150 Pages CQS.0353 ", $9.99 ,Ships from,978-1099769030,
  It's Not Mileage It's Therapy Daily Running Log Tracker: Track Your Runs Mileage Pace Time Weather Notes With Weekly Summary 150 Pages CQS.0357 , $9.99 ,Ships from,978-1099769061,
  Mama Needs A Run Daily Running Log Tracker: Track Your Runs Mileage Pace Time Weather Notes With Weekly Summary 150 Pages CQS.0346 , $9.99 ,Ships from,978-1099769078,
  Coloring Book For Adults With Cussing: Cussing Color Book.A Swearing And Bad Word Coloring Book For ADULTS ONLY (Cussing Coloring Books For Men and Women) , $6.99 ,Ships from,979-8535072845,
"  Gardening Log Book: My garden journal and planner and log book.A Complete Organizer for Planning Flower Gardens, Vegetable Gardens, and other Plant Projects ", $6.99 ,Ships from,979-8722298980,
  Coloring Book-A To Z Bible Stories , $8.00 ,Ships from,978-0982798034,
  Success Planner - Your One Year CANI Journal Constant And Never Ending Improvement - 378 Page Kaizen Diary (CQS.0064): One Year Calendar Notebook To Reach Your Goals (CQS.0064) , $14.99 ,Ships from,978-1092876469,
"  Dance Squad Mom One Line A Day Three Year Journal: Easy To Stick With It. Just Write One Line A Day To Log, Document, Inspire - Journaling For The Time Challenged. CQS.0364 ", $13.99 ,Ships from,978-1099884405,
