address,price,bed,bath,area,car_spaces,specification,agent_names,agent_phones,property_id,pictures,url
"Type 108/235 Springvale Road, Glen Waverley, Vic 3150","$759,000",2,2,,,"Unleash the extraordinary lifestyle with the last six remaining apartments, complete with FREE display furniture! Don't miss your chance – seize this exclusive opportunity before it slips away (T&Cs apply). ,These luxuriously appointed light-filled 2-bedroom residences feature premium fixtures and fittings, timber flooring, Miele appliances, and generous island bench-tops.,Meticulously designed by renowned architects Rothelowman in collaboration with DKO Architecture, these residences have been carefully crafted with consideration to natural light, commanding panoramic views across Melbourne’s stunning skyline.,Directly atop the expansive homes lies 4,000sqm of carefully curated gardens, providing residents with a surplus of private spaces including bars, lounges, rest area, kitchen garden, play and picnic area, private cabanas and meditation/wellness area.,Located high above The New Glen Shopping Centre, Sky Garden elevates style, amenity and convenience to luxurious new heights.,Contact us today for more details and your private tour!  https://skygardenresidences.com.au/","Ivan Yu,Silvia Pan","04993889...,04562502...","Property ID: ,137070482","https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/420e9b3f09ad6562574e85afd4f8e783007a5d67ca9cc9e7fa42da9302d3a055/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/3fed8ff214f69ab92e6b7613312f718d3218c1b40f28db41004507648b8deb8e/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/526d7de976b4eb3b0716211c946a2622dc2ad563bbd04228c9343198b73be21e/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/9d2965c7211cbc73d34d5d7f57627d28a266865f66c740fa484c452db235814d/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/b5b18a2be271c66a89405e69f4cdb710d9363c1f99d710d3ef1a07d25561e004/image.jpg",https://www.realestate.com.au/property-apartment-vic-glen+waverley-137070482
"404/52-54 Osullivan Road, Glen Waverley, Vic 3150","FOR SALE $530,000 - $570,000",2,2,,2,"Experience the epitome of modern living with this stunning Galleria apartment that bathes in northerly sunshine and showcases a contemporary, carefree design in the heart of Glen Waverley, beside The Glen Shopping Centre. Taking place on the 4th floor, the apartment's modern aesthetic invites you in to discover an open plan living, dining and kitchen boasting sleek floorboards, stone benches, Ilve gas stove, Ilve oven, integrated Fisher & Paykel dishwasher plus a concealed fridge space. Floor-to-ceiling windows welcome in the northerly sunshine and offer a streamlined connection out onto the covered balcony where you can relax in the sunshine. Carpet in the two bedrooms adds to the apartments sense of comfort, with one of the bedrooms boasting a study nook and private balcony, while both bedrooms include mirrored built-in-robes. Continuing to impress, the bathroom benefits from floor-to-ceiling tiles, while added extras include a Euro laundry, extensive storage, video intercom entry, reverse cycle heating/air-conditioning, double-glazed windows plus a basement parking space and storage area. Directly opposite The Glen Shopping Centre in the sought-after Glen Waverley Secondary College Catchment (STSA), walking distance to Glen Waverley Primary, Wesley College, Kingsway restaurants, Village Cinemas, Strike Bowling, Glen Waverley Station and buses. ,Photo ID required at all open for inspections.","Alan Zhang,Darryl Wickham","04022000...,04105547...","Property ID: ,144675132","https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/3df5a169945019ffaf6e0f3a4dd79cbbcb5bcefc42d257a2cbc23eb999af86c6/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/3df5a169945019ffaf6e0f3a4dd79cbbcb5bcefc42d257a2cbc23eb999af86c6/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/9dd192d9af3bd991f9fe4060f6fd8491f8ee337639832a6b07cc08a85d71d1b7/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/888a5f8aa4ef9bc07d398bb85b93ca420a9b9fd52872cad9f837057519f3c99e/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/70d5b559600941a2dd1d567f9c03c48acf379f9ece72cc5c114b0bb7c665feb1/image.jpg",https://www.realestate.com.au/property-apartment-vic-glen+waverley-144675132
"32 Saladin Avenue, Glen Waverley, Vic 3150","$1,500,000 - $1,550,000",4,4,723 m² land size,4,"A vibrant celebration of luxurious family living in a prized leafy setting, this sumptuous contemporary retreat presents a unique light-filled layout across a single sprawling level, spilling to glorious sunlit surrounds.,Nestled on an expansive 719sqm block with soothing green outlooks and calming rear views, the home's modern brick facade is framed by towering palm trees and a secure gated frontage, opening to reveal crisp white walls and sophisticated timber floors.,Awash with natural light, the stylish interiors showcase an open living/meal zone that merges with a serene elevated alfresco, while the spectacular enclosed entertainers' area boasts a cosy fireplace, full-height windows and a striking industrial design with a state-of-the-art concrete/timber kitchen.,The main kitchen is placed nearby with waterfall stone benchtops, an LG dishwasher, five-burner gas cooktop and electric oven, providing easy access to the private manicured backyard and peaceful pergola.,Completing this whisper-quiet family haven, the primary bedroom is the tranquil hideaway busy parents crave with its exclusive ensuite and expansive walk-in robe.,The three remaining bedrooms are generous in size and supremely comfortable, sharing access to the gleaming powder room and updated family bathroom with its full-size bath.,Ducted heating, evaporative cooling and split-system air conditioning ensure optimal enjoyment all year round, while additional finishing touches comprise an alarm system for peace of mind, a secure carport behind automatic gates and ample underhouse storage.,Life in this premium pocket of Glen Waverley is all about convenience, placing its new family within a stroll of Pinewood Primary School and bustling Pinewood Shopping Centre, while close to Brentwood Secondary College.,It's also moments from prestigious private schools and The Glen, while nearby train stations and the Monash Freeway ensure seamless city commuting.,With nothing left to do but unpack and relax, this expansive family home awaits its next chapter.,Property specifications:,Four bedrooms, open plan living/dining zone, two modern kitchens,Versatile enclosed entertainers' area, covered alfresco and pergola,Family bathroom, ensuite and powder room, walk-in/built-in robes,Manicured gardens, gated frontage, carport and additional parking,Walk to shops, parks and schools, close to transport and freeway","Neo Chen,Ivy Liu","04338547...,04331637...","Property ID: ,144544452","https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/df0e89293d3658e11aff90ef2d0a16f5a87df24dd55a722004d3419b1fdb81b9/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/07ec2f4fa61e856178d2445e8e20818df3f59787750b457ef579e83ba518f48b/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/07ec2f4fa61e856178d2445e8e20818df3f59787750b457ef579e83ba518f48b/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/198349aef076dc9dcfd27d0e5501fcc847b66669a9186206b6ec971daa07399f/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/f819f1e0decd5e072448b94e4ac2733cffb64f6f655a0861dfe88d17eb801064/image.jpg",https://www.realestate.com.au/property-house-vic-glen+waverley-144544452
"2/1 Olinda Street, Glen Waverley, Vic 3150","$2,300,000 - $2,500,000",4,4,,2,"This brand new stunning design meets immaculate family living with these off-the-plan side by side cutting-edge triple level town homes, quietly located in Glen Waverley prime location and dual school catchment area, Glen Waverley Secondary College and Mt View Primary School zones (STSA), walking distance to the Glen Shopping Centre, Glen Waverley train station, Kingsway restaurants, cafes and shops and parks, close to Wesley College and Caulfield Grammar.,Displaying a generous and light-filled ground floor living zone featuring designated spaces for the family to relax and also dine, the first floor also hosting a further exceptionally pleasing family area. The breezy state of the art stone kitchen boasts stainless steel appliances including a gas cooktop, dishwasher, modern tiled splashback, an island counter, a large walk-in pantry and gorgeous pendant lighting, all assisting home cooked meals to be planned with great ease.,The front of the ground floor residence showcases a private guest suite with a walk-in robe and superb ensuite, while the upper level enjoys an expansive and open lounge room with a balcony and three enviable robed bedrooms, among them a master with urban ensuite.,Chic and relaxing, the family bathroom will impress with its deep bath as well as its dual vanity and semi frameless shower while a separate powder room on the ground floor and laundry nearby with help make life better together.,Other highlights boast European oak parquetry flooring, lavish kitchen with stone benches, butler’s pantry and backyard. These exquisite builds also come equipped with heating and cooling, recessed lighting, double door entrance, securely fenced and gated, and the underground level is dedicated to securely garaging vehicles and a big storage.,Don’t miss this opportunity located in one of Glen Waverley's hottest spots.,Disclaimer: We have in preparing this document used our best endeavours to ensure that the information contained in this document is true and accurate, but accept no responsibility and disclaim all liability in respect to any errors, omissions, inaccuracies or misstate-ments in this document. The fixtures, fittings, appliances and services have not been tested and no guarantee as to their functionality or efficiency can be provided. Prospect purchasers should independently verify the information contained in this document.,    ",Eric Li,04156899...,"Property ID: ,137856918","https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/264951a2920434e86e5da27b3122601c787a60c1a66427820ce24952b6061c2a/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/36194da1dbafb9f8453c689ecb59429b1194c50ab2c84449c95ee3169aed7a24/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/36194da1dbafb9f8453c689ecb59429b1194c50ab2c84449c95ee3169aed7a24/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/d38c0e6fdc3c6250daded9c9e8a28c202ccbe0a0d689cf4db2066e13106599b6/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/b397da038d9cfcb94f313a3fd9d02d0ad13e4ef60b85b14af0289f2a621dc01d/image.jpg",https://www.realestate.com.au/property-house-vic-glen+waverley-137856918
"Type 236/235 Springvale Road, Glen Waverley, Vic 3150","$778,000",2,2,,,"Unleash the extraordinary lifestyle with the last six remaining apartments, complete with FREE display furniture! Don't miss your chance – seize this exclusive opportunity before it slips away (Available until February 25th 2024, T&Cs apply). ,These luxuriously appointed light-filled 2-bedroom residences feature premium fixtures and fittings, timber flooring, Miele appliances, and generous island bench-tops.,Meticulously designed by renowned architects Rothelowman in collaboration with DKO Architecture, these residences have been carefully crafted with consideration to natural light, commanding panoramic views across Melbourne’s stunning skyline.,Directly atop the expansive homes lies 4,000sqm of carefully curated gardens, providing residents with a surplus of private spaces including bars, lounges, rest area, kitchen garden, play and picnic area, private cabanas and meditation/wellness area.,Located high above The New Glen Shopping Centre, Sky Garden elevates style, amenity and convenience to luxurious new heights.,Contact us today for more details and your private tour!  https://skygardenresidences.com.au/","Ivan Yu,Silvia Pan","04993889...,04562502...","Property ID: ,144660188","https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/cde3b5d66c354560b36d58ccbedd019ba5463ac190113bb0565891e72cf70acf/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/6512152e8ac7a9d01b8a560bbb70184d522fb67caf3b9bcaf43060d1d9dee8c9/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/4c98edde199386a66c5cf17f922b109a222bff11b35d22332cfc6e71e486a8ac/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/84985a6a38d15fb281e3f9ecb637641d9c137d04545153e6071f38b35afb8538/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/f6da5edcb735456b76fbe725105f8b67335f987a3850521a6bc6a3e5a65e9964/image.jpg",https://www.realestate.com.au/property-apartment-vic-glen+waverley-144660188
"Type 110/235 Springvale Road, Glen Waverley, Vic 3150","$755,000",2,2,,,"Unleash the extraordinary lifestyle with the last six remaining apartments, complete with FREE display furniture! Don't miss your chance – seize this exclusive opportunity before it slips away (T&Cs apply). ,Seamless connection to The Glen Shopping Centre, a premier shopping and dining destination with over 240 retailers to explore.,Bright and spacious open plan living and dining areas with breathtaking panoramic views of Melbourne's skyline and the tranquil Dandenong Ranges. A sophisticated kitchen designed by DKO Architecture features a sleek island bench, plenty of storage and state of the art integrated Miele appliances. The generous master bedroom features its own modern en-suite and the second bedroom completes this stunning offering with an abundance of built in robes.,Sky Garden also offers residents their own private oasis with over 4,000sqm of rooftop gardens, overseen by Australian landscape architect Aspect Studio. Further facilities available for the exclusive use of residents are a luxurious swimming pool, fully equipped gymnasium, library and convenient access to the Kingsway, Glen Waverley Secondary College, and Glen Waverley Railway Station.,Priced from $755,000, an exclusive selection of one, two and three bedroom residences with car-park remains available. ,Contact us today for more details and your private tour!  ,https://skygardenresidences.com.au/.","Sherroy Ong,Ivan Yu","04234260...,04993889...","Property ID: ,137070434","https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/42b845bec22b02e56a4efebcd1528faf986f7391533040d6548f703caf03a934/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/3539cc18b842f94324383992777c2f8331ef4670111f7fa75f53579ae9ab7ae4/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/fffc24810f585abeea5e6036604a97d8a0d1fdbe39b2b6c1b0bf7b4ab55265e9/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/204d5ab58e2682fe437de786ef505ae364f743e56394e57ac893d8802b6f4e32/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/f96759b20dc88d85c183776300b662073a7b9088654ee3bea10736c1aaffdd58/image.jpg",https://www.realestate.com.au/property-apartment-vic-glen+waverley-137070434
"1/594-596 Highbury Road, Glen Waverley, Vic 3150","$1,490,000",4,4,,2,"Presenting an unparalleled fusion of contemporary space and modern convenience, this remarkable townhouse offers an enticing prospect for those desiring a lifestyle of low-maintenance ease. Upon entering, neutral tones, high ceilings and beautiful natural light establish a welcoming atmosphere throughout an inviting lounge, preceding an open-plan living/dining zone including a luxurious kitchen appointed with stone surfaces, island bench, Bosch appliances and WIP. Appreciate the flexibility of ground and upper-level main bedrooms each fitted with robes and luxe ensuite, complemented by 2 further robed bedrooms, retreat and stylish twin bathroom. Exceptional comfort is ensured with the inclusion of ducted heating, split system AC, private entertaining deck, open study, alarm, video intercom and secure gated access to a double garage. Revel in the epitome of stress-free living, positioned in the Glendal Primary School zone, close to Wesley College, Burwood One, The Glen, transport, reserves, Monash Freeway and EastLink.","Costa Calaitzis,Jimmy Zhang","04001104...,04303883...","Property ID: ,143693344","https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/a008ecc39a28e97a3e38a0d37fcde7e002e240245143e1feec70187261c6aadc/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/39dcbd426a70ca44d9e897e9c891aff1f2458a822697daeddf18e1f0dfe17d3e/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/39dcbd426a70ca44d9e897e9c891aff1f2458a822697daeddf18e1f0dfe17d3e/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/285858a80ce5c1db48a73d2cf45a7b265e2d02046677d1c70037c74cf3f67064/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/5ce732ba4d7ee396ec8a4dd99736391f00aef9ee969c9e03fd0fdd825268feb8/image.jpg",https://www.realestate.com.au/property-townhouse-vic-glen+waverley-143693344
"4 Paxton Drive, Glen Waverley, Vic 3150","$1,500,000 - $1,650,000",5,5,809 m² land size,2,"The story begins with the sweeping curves of an 800smqs (approx.) property immersed in serene gardens, with a horseshoe driveway providing regal entry to the porch and carport. ,It's an impressive welcome to this prized neighbourhood which puts you just 800m (a 10min walk) from top 10 ranking Mount View Primary and a 5min drive to elite Caulfield Grammar.,Inside, the grandeur of the home is immediately apparent – embracing you with abundant sized living space stretching out from the entrance hall.,For families seeking a configuration to accommodate intergenerational living, there's room here for grandma or guests with 5 bedrooms, 3 bathrooms and separate living quarters on the lower level. That independent setting features its own bedroom, bathroom, and bright lounge area opening to a paved patio and private gardens.  ,A magnificent entertainer's deck overlooking a stunning Japanese Maple, wraps around the living and family rooms, enhancing the home's country style serenity. You can even glimpse the mountains through the trees from that gorgeous al fresco retreat.,Premium Bosch kitchen appliances, Alarm System, wool carpets, ducted heating, evaporative cooling, and space heaters are among the top tier appointments, with easy care established gardens providing a beautiful green backdrop and a 500lt water tank which is also plumbed to the home. ,It's an exciting prospect for families wanting access to Mount View Primary, Caulfield Grammar, Brentwood Secondary College, exceptional parks and sporting facilities, shopping choice at The Glen, Pinewood Shopping Village and fresh produce markets on High St Rd, with Monash Fwy and Eastlink connecting you city to coast.","Jourdain Creigh,Ron Kohli","04300122...,04339529...","Property ID: ,144561976","https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/93ac634bdd370b058b57a3ab1e4a13633ecf769de4262647ec083519cb2ecb72/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/425bc2b28ef4ae0169e5e835568537ad051b937b5af324ec84acba8e47c7f3b6/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/425bc2b28ef4ae0169e5e835568537ad051b937b5af324ec84acba8e47c7f3b6/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/774a1fc545c67920e332653a52e9e6e1c2b1801599dee1bf6a64443165bf0adf/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/7e46d833fcc6e8bc9bc24d63e14d84b9000a090c3c25f86bcf0f648dc600a0c5/image.jpg",https://www.realestate.com.au/property-house-vic-glen+waverley-144561976
"5A Walter Street, Glen Waverley, Vic 3150","$2,200,000",5,5,,2,"Unique style with stunning views!,Offering first class and stylish attention to detail, this architecturally designed 5 bedroom, 4 toilets, 3 bathroom family residence is the perfect home for any family and particularly one looking for space to grow. ,This dual level executive home truly makes a statement, from the striking external design to the exquisite fittings and fixtures featured throughout the property. The centerpiece central living zone has separate areas for both lounging and dining with a stunning gas fireplace. The glorious kitchen truly is a sight to behold with a feature black granite island bench, stylish splashback, soft-closing drawers, Siemens induction cooktop, dual pyrolytic ovens and dishwasher. There is also a butler's pantry with a gas cooktop making meals preparation a breeze. ,You have the pick of two master bedrooms on the ground and top levels, both come with tailored walk-in robes, sumptuous ensuites fitted with sublime tapware and timber detailed vanities. There are also two additional bedrooms upstairs which have access to a gorgeous main bathroom, as well as a versatile retreat. ,The undercover decking off the central living hub and surrounding landscaped gardens provides you with excellent alfresco options, while further features include a downstairs powder room, spacious laundry and a double garage. Downstairs also offers a generous fifth bedroom or study option and includes a large versatile multipurpose room, connected to all services, that awaits your specific needs or a multitude of uses.,This home shares no common land and comes fully optioned with ducted heating, air conditioning, video intercom, security cameras, electric blinds and 3 phase power with solar panels and battery to suit your EV needs.,Moments to The Glen Shopping Centre and surrounding cafes and restaurants, Wesley College, Glendal Primary School, Glen Waverley North Reserve, local buses, and Glen Waverley Station.",Mark Watkins,04113962...,"Property ID: ,144419440","https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/a57b8854bd379022c259a04078741917da2e40389312e9ad95676f7cd1374895/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/8652d955def75938388345c09ff9eb4127e09da6e38620801395ce5a84a78e9c/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/12712fd505eef2d1bf653403d82fd2b37c11519aa469ce9c69df4aa87a7b6831/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/501414c77a6be9fac8a156105441e4549ed1b4ae89cd320fe1e95363b1fdd917/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/b6e98d8b700295e05b084a6f8bc501f3d8d945cdb4861df105da120225665c59/image.jpg",https://www.realestate.com.au/property-house-vic-glen+waverley-144419440
"3  Kirkwall Court, Glen Waverley, Vic 3150","$1,150,000 - $1,265,000",4,4,810 m² land size,2,"This sweet vanilla brick veneer and its grand front verandah would have been a showpiece in its day. Now that proud history makes way for a promising future on an 810sqms (approx.) allotment along the park.,A superb top of the court position backing onto Brentwood Reserve puts you in walking distance to lovely green space, Code 5 café, Brentwood Secondary College and White Lanes Tennis Club, offering impressive access to the district’s lifestyle attributes.,The mid-century home presents in neat original condition, with updated central heating and cooling, s/s Fisher & Paykel dishwasher and bright living space and bedrooms – with a north-west facing aspect designed to capture morning and afternoon light.,For investors wanting to make plans to develop, the lease potential is high with REIV recording 4-bedroom median weekly rent at $698 in Glen Waverley.  ,Outside, the generous block invites vision for growth with potential to build a new family home or two town houses (STCA) in this family friendly pocket of Glen Waverley, just a short drive to The Glen’s shopping, dining and transport hub, esteemed Caulfield Grammar, M1 and Eastlink connections, and Monash Aquatic Centre and its 6 pools. ","Anna Du,Perry Loong","04394179...,04907943...","Property ID: ,144676096","https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/3f88ba5a709548242705b8eabb5981a1fdeb13f2b85ddfebf4b373aeb42acc32/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/924e042c8846be741901049258bbbca8cfdb886e665033ed515d742bfdaa57e5/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/924e042c8846be741901049258bbbca8cfdb886e665033ed515d742bfdaa57e5/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/45be50a4bd3bce4acfa45eb1357488df8437b84b4ea9131a8ca3693742a33203/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/b25b79f7cae6869bc4e792f7e15130d522fc151315d4bb1feedf5be07c56ffd4/image.jpg",https://www.realestate.com.au/property-house-vic-glen+waverley-144676096
"755-757 High Street Road, Glen Waverley, Vic 3150",$5.5M - $6M - AUCTION THIS SAT AT 10AM,5,5,"1,451 m² land size",8,"Combining for an amazing 1451 sqm (approx.) total over two incredible blocks, and placed in a fantastic location that also happens to be in one of Melbourne's most exclusive school zones, this sensational opportunity is one that very rarely comes on the market!,This amazing double block is sure to excite those with redevelopment aspirations. The immense land size lends itself to being transformed into multiple townhouses or units (STCA), while you can't rule out building your grand and custom dream family home on the huge allotment (also STCA). This prospect also delivers great investment potential, where you can rent out the two single level dwellings that exist on the land as you get your plans and permits in place!,Zoned for both the Glen Waverley Secondary College and Glen Waverley Primary School (STSA) as well as being so close to Wesley College, you're also located near the popular The Glen Waverley Shopping Centre, Kingsway restaurants and shops, Glen Waverley North Reserve, Larpent Reserve, buses, Glen Waverley Station, and freeways. ","Fred Zeng,Ming Xu","04116043...,04006556...","Property ID: ,144173196","https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/4ce9395f96b7a23f740f34ec254ebb3a8ab113d78bede91e2bbeff6fbd8e9eac/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/4ce9395f96b7a23f740f34ec254ebb3a8ab113d78bede91e2bbeff6fbd8e9eac/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/3eba2a05945fc9d8294c662f3825408662d83ee3896dd00c53d2da98c127a64e/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/ff7c60620eee42436b5780c80595d659966c1819475a325038711ad541dad586/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/b34e65db5d1baa53302e8a8ca21a0fb2e4f6d7da07fe18566320e8b50c3d7ff3/image.jpg",https://www.realestate.com.au/property-house-vic-glen+waverley-144173196
"2/4 Allen Street, Glen Waverley, Vic 3150","Auction : $830,000 - $910,000",3,3,265 m² land size,2,"Tucked away in the serene suburb of Glen Waverley, this charming three-bedroom brick veneer residence is a haven of space and luminosity, boasting ample open areas bathed in natural light from its generously sized windows. The home unfolds with an inviting open plan layout, where the kitchen, equipped with a breakfast bar, dishwasher, gas cooktop, and electric oven, seamlessly flows into the spacious dining area. A step away, the separate formal lounge offers a quiet retreat.,The master bedroom is a private sanctuary, featuring a walk-in wardrobe and an ensuite for ultimate convenience. The additional bedrooms, each fitted with built-in robes, share access to the main bathroom, which includes a bath, shower, and toilet, catering to all your family's needs.,This home is loaded with desirable amenities, including polished timber floorboards, ducted heating, cooling for year-round comfort, a secure double lock-up garage, and a generously sized rear yard for outdoor enjoyment.,Situated in a highly sought-after locale, you're just a stroll away from Monash Aqualink and the vast expanses of Central Reserve. With over six bus routes nearby, public transport is easily accessible. The area is alive with local businesses, cafes, and restaurants for your convenience. Additionally, residing in this location places you within the coveted zones for Glen Waverley South Primary School and Glen Waverley Secondary College, making it an ideal home for families looking for quality education options.,Photo ID required at all open for inspections.","Ya Fei Dong,Vita Liu","04506063...,04120496...","Property ID: ,144667500","https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/8ee6775e7b79c290260cf69f0757911b5be0b310aa9175e85964d9b032d7c33e/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/8ee6775e7b79c290260cf69f0757911b5be0b310aa9175e85964d9b032d7c33e/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/c3b64a48294bb76825d771e63dc045dc072a029762621022eb0609f8ca48f0c6/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/9b89ef18e7f695adbbfab4cb94cafc7bd68a374dbb02a0979d58e6ca7c5fe7a0/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/fb14e6f1e6cf2b5b6d9e74c237cc828d0dd8f50b9f75934f978136b8f8c8b53e/image.jpg",https://www.realestate.com.au/property-unit-vic-glen+waverley-144667500
"1/723 Waverley Road, Glen Waverley, Vic 3150",,3,3,,,"First home buyers, downsizers and investors, light, bright single level unit, offering formal living room flowing into the dining room family area, servery window from the kitchen with multiple cupboards, pantry all facing the preferred North facing direction.  Wonderful entertaining inside and out to the paved backyard. ,Three bedrooms, two with built in robes, single carport and parking space in front.,Close to The Glen, buses, Glen Waverley Station and reserves.  Monash Aquatic Centre, Monash University and easy access to Monash freeway Eastlink and Brentwood Secondary School (S.T.A).,Disclaimer:  Every precaution has been taken to establish the accuracy of the above information but it does not constitute any representation by the the vendor/agent and agency.","Adrian Santini,Karen Chiverton","04011996...,04091449...","Property ID: ,144666024","https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/a1bb89b5d2c2846a9d694812867bf76efe3d303c70ebc1df49f2f7fa6378ff23/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/a1bb89b5d2c2846a9d694812867bf76efe3d303c70ebc1df49f2f7fa6378ff23/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/1ea252987cf9331e7fd4ebd62f4862ca7300cc0a780f225708e1b8f1b9a90946/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/2a0a19ffd8898a412068b053c0319db923c7922d0183c7684d0c4be36cfb74ff/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/cc5b7c353c839819fd8f44405e76691e8c5e9d2d46b44ae898d9d1f2ea5ee1eb/image.jpg",https://www.realestate.com.au/property-unit-vic-glen+waverley-144666024
