address,price,bed,bath,area,car_spaces,specification,agents,property_id,pictures,url
"Type B6/583 Ferntree Gully Road, Glen Waverley, Vic 3150","$1,565,000 ",4,3,,2,"•	A lovely east/west orientated double storey townhome with north facing windows,•	Well defined layout with individual dining and living space that opens to a balcony ,•	A multi-purpose room on the ground floor provides flexibility to be used as a study or home office.,•	A powder room and laundry are positioned on the ground floor,•	Double garage,•	Generous storage throughout including a storage shed in the back courtyard. ,•	Suitable for those looking to upsize or for maturing families that require additional space,Floret is a vibrant new community of premium townhouses located in Glen Waverley, available from $1.26M.,With elevated interiors designed by award-winning architects RotheLowman and verdant landscapes by renowned ASPECT Studios, our Floret Townhouses share a rich synergy between built and natural environments.,Supporting the needs of a modern lifestyle, Floret boasts proximity to vast retail offerings, eminent public and private schools, universities and expansive green spaces.,Display suite is open by appointment.,583 Ferntree Gully Road, Glen Waverley  ,FloretHomes.com.au","04234260...,(03) 901...","Property ID: ,140791835","https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/59618217d1174c6b7a9d0a2c5dabf2461b751487619578ecb099e1a24100c829/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/project/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/6e7463cce821d16f522276ef6811739254bfa24f87e98ffcd99fc090cd0a8b04/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/www.realestate.com.au/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/listing/image.jpg",https://www.realestate.com.au/property-townhouse-vic-glen+waverley-140791835
"1 Newnham Court, Glen Waverley, Vic 3150","$1,200,000 - $1,300,000",3,2,770,2,"Immediately liveable with the perfect fusion of position and potential, this classic one-owner home provides a functional interior with excellent scope to renovate, rebuild or redevelop on 770sqm approx. in the Brentwood Secondary Zone (STCA). ,Placed in the bowl of a quiet court, the home's traditional dimensions embrace the benefits of three robed bedrooms, accompanied by a family bathroom, separate toilet and laundry with double trough. ,The L-shaped lounge and dining room is enriched with corner windows and flows through to the kitchen and meals zone, while a large sunroom extends out onto the level backyard. ,Adding appeal, the home comes complete with ducted heating, split system air conditioning, security shutters plus a side driveway leading to an oversized double garage. ,Positioned within close proximity to Glen Waverley South Primary, Brentwood Secondary, Monash Aquatic Centre, Central Reserve, Brandon Park Shopping Centre, The Glen, buses running along Springvale Rd, Glen Waverley Station and freeways. ","Ryan Yan,04141452...,Tony Ievoli,04228697...","Property ID: ,144139692","https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/c3238805261e1926e1625527e41583e95811b007b8c2317da42d84e68e222e73/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/209021deb5f8affaec1b9980973b2237fd82e9096c9307e566079a81a96f0b4a/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/209021deb5f8affaec1b9980973b2237fd82e9096c9307e566079a81a96f0b4a/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/4f1db2a2abac27c805e3107a83e9e4482eb91a7de0ec3f59389a1ee9fe2ae21b/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/b642eaded2c7933aefdd65f671e6dafff7983c39db320318c22b99bb3311abe5/image.jpg",https://www.realestate.com.au/property-house-vic-glen+waverley-144139692
"Type B4A/583 Ferntree Gully Road, Glen Waverley, Vic 3150","$1,475,000 ",4,3,,2,"•	Three level, three bedrooms with an additional flexi room townhome provides generous living space with large glass doors that open to an entertainer’s backyard. ,•	This townhome is one of the larger residences in the estate. ,•	Spacious master bedroom with WIR ,•	Three additional upstairs bedrooms with a large family bathroom,•	Separate laundry room,•	Double garage,•	Abundant amount of storage and cupboards throughout including a outdoor shed,•	Large, landscaped backyard with paved courtyard,•	Suited for downsizers, upsizers or maturing families.,Floret is a vibrant new community of premium townhouses located in Glen Waverley, available from $126M.,With elevated interiors designed by award-winning architects RotheLowman and verdant landscapes by renowned ASPECT Studios, our Floret Townhouses share a rich synergy between built and natural environments.,Supporting the needs of a modern lifestyle, Floret boasts proximity to vast retail offerings, eminent public and private schools, universities and expansive green spaces.,Display suite is open by appointment.,583 Ferntree Gully Road, Glen Waverley  ,FloretHomes.com.au","(03) 901...,04234260...","Property ID: ,140791955","https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/59618217d1174c6b7a9d0a2c5dabf2461b751487619578ecb099e1a24100c829/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/project/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/6e7463cce821d16f522276ef6811739254bfa24f87e98ffcd99fc090cd0a8b04/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/www.realestate.com.au/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/listing/image.jpg",https://www.realestate.com.au/property-townhouse-vic-glen+waverley-140791955
"1407/25 Osullivan Road, Glen Waverley, Vic 3150","$810,000 - $830,000",2,2,313,2,"Welcome to this stunning 2 bedroom, 2 bathroom apartment located at 1407/25 Osullivan Road in the sought-after suburb of Glen Waverley, in the heart of the area with in Glen Waverley Secondary College zone, and walking distance to the central shopping centre, train station, schools and amenities.,This modern apartment features a spacious living area, a sleek kitchen with quality appliances, and a balcony with stunning views. The bedrooms are well-appointed with built-in robes, and the master bedroom includes an ensuite. ,With a carport space included, this apartment offers convenience and comfort. The building itself boasts a contemporary design and is located in a prime location close to all amenities.,Key Features and Amenities:,- 2 Bedrooms: Discover two beautifully designed bedrooms, each providing relaxation and rejuvenation.,- 2 Bathrooms, 2 Toilets: Enjoy the luxury of two well-appointed bathrooms and an additional toilet, ensuring privacy and ease of living.,- Parking and Storage: This apartment includes the convenience of parking and additional storage, simplifying your daily routine.,- Approximately 4,000m2 private podium gardens reminiscing of Singapore featuring BBQ areas, bars, lounges, rest area, kitchen garden, play and picnic area, private cabanas and meditation/wellness area means affordable luxury with minimal upkeep, freeing you to enjoy life's pleasures.,- resort-style swimming pool with sauna, two-level gym and open plan yoga area, library, private dining with kitchen and terrace BBQ facilities, private lounge, Mahjong rooms and private theatre enriching your daily life.,- Enhanced security and Front Desk Concierges ensure peace of mind, potentially reducing insurance costs.,- Private Social & Recreational Committee activities such as New Year/Halloween Celebrations,Photo ID required for all inspections.","Jichen Quan,04046169...,Andy Zhang,04492719...","Property ID: ,144642660","https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/ca1792ff584a3e4cba3b5b6d7ca2cde8c67f09cf6b0172de04701e70af6e87c9/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/ca1792ff584a3e4cba3b5b6d7ca2cde8c67f09cf6b0172de04701e70af6e87c9/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/02c5b16792789658da2394fc33f5b4e6eaff234c80f9608ef1b5596b0e4d57f4/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/a0f97c6de7bc0b648b855220d592c6d76c0dcc6599b097d481d34083cad95f94/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/fdf1328c06e5f26a80d7f6445b91949bc70306b9a2c26d224f37c33bcbc9b6a8/image.jpg",https://www.realestate.com.au/property-apartment-vic-glen+waverley-144642660
"1/41 Coleman Parade, Glen Waverley, Vic 3150","$1,100,000-$1,200,000",3,2,,2,"Nestled in a serene spot near Syndal train station, this luminous and modern residence is a testament to elegance and spacious living, perfectly catering to family life within the highly sought-after Glen Waverley Secondary Zone. Designed for comfort and style, this home boasts an open-plan living space that integrates the living room, dining area, and kitchen, creating a seamless flow ideal for family interactions and entertainment. High ceilings throughout add a touch of grandeur. ,The kitchen is a highlight, equipped with top-tier stainless steel appliances including a Miele oven and a potent Miele rangehood, complemented by a dishwasher, extensive storage, and chic stone countertops. Climate control is effortless with zoned split system air conditioning, ensuring comfort in any season. Windows in the kitchen and expansive floor-to-ceiling windows in the living area flood the space with natural light.,A secluded balcony off the living room provides a peaceful nook for enjoying a coffee and soaking in the serene atmosphere, courtesy of the fresh air. The low-maintenance front yard is designed for minimal upkeep, facilitating effortless outdoor enjoyment. Positioned within a short walk from cafes, restaurants, and the Syndal station, and near esteemed schools, parks, and a mere 5-minute drive to ""The Glen"" shopping center, this home melds modern amenities with an exceptional location, crafting an unparalleled living experience.,The nearby educational resources are abundant, with the townhouse not only situated within the highly sought-after Glen Waverley Secondary College zone but also close to the prestigious private school, Wesley College.,Step into a world where luxury meets convenience. This townhouse are not just a place to live; It is a lifestyle choice for discerning individuals who demand the very best. Book your viewing today and unlock the door to your dream home at U1/41 Coleman Parade, Glen Waverley.,For more information please contact Smart Listing :,Richard|0435 495 908,Leo|0452 478 066,***We take you to your dream homes***","Richard LING,04354959...,Leo LIN,04524780...","Property ID: ,144638600","https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/802fbcc827ad6dc98ae24949e9ecf582caa34cefe4ebd71db5df937b132757c2/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/802fbcc827ad6dc98ae24949e9ecf582caa34cefe4ebd71db5df937b132757c2/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/ee80a645ba4e3ee2b0767b4a4216e11661aa3406f40609b1523968e73faea663/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/7f6acb1ef69e55560d6c43703b5ba807db147a20e10ce7b906a7cffa27f88c5b/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/1758ba9783dd126e2771e8ec204a00014c2cdd4422031f10dd493731cc4df394/image.jpg",https://www.realestate.com.au/property-townhouse-vic-glen+waverley-144638600
"TYPE A3/583 Ferntree Gully Rd, Glen Waverley, Vic 3150","$1,395,000 ",3,3,,2,"• Three level townhome providing a generous spacious layout for flexible living.,• A beautiful walk-in wardrobe in the second bedroom ,• A ground floor second living with a bathroom next to it provides the opportunity for multi-purpose family entertainment or the added flexibility to work from home.,• Drying courtyard off the garage,• Suitable for first home buyer, young families, downsizers or upsizers who are looking for more space and flexibility, perfect investment opportunity in the centre of Glen Waverley.,Floret is a vibrant new community of premium townhouses located in Glen Waverley, available from $995k.,With elevated interiors designed by award-winning architects RotheLowman and verdant landscapes by renowned ASPECT Studios, our Floret Townhouses share a rich synergy between built and natural environments.,Supporting the needs of a modern lifestyle, Floret boasts proximity to vast retail offerings, eminent public and private schools, universities and expansive green spaces.,Display suite is open by appointment. Please contact our sales team to book inspection.,Display Address: 583 Ferntree Gully Road, Glen Waverley,FloretHomes.com.au","04562502...,04234260...","Property ID: ,143721120","https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/59618217d1174c6b7a9d0a2c5dabf2461b751487619578ecb099e1a24100c829/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/project/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/6e7463cce821d16f522276ef6811739254bfa24f87e98ffcd99fc090cd0a8b04/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/www.realestate.com.au/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/listing/image.jpg",https://www.realestate.com.au/property-townhouse-vic-glen+waverley-143721120
"7/2-4 Blair Road, Glen Waverley, Vic 3150","$570,000-$610,000",2,2,350,2,"Nestled in the heart of Glen Waverley lies this surprisingly capacious apartment, perfectly positioned mere steps away from The Glen Shopping Centre, Glen Waverley Secondary College, train and bus stations, Village Cinemas, vibrant Kingsway nightlife, and much more! ,Boasting generous proportions and a contemporary interior, this deluxe property promises to captivate with its two spacious bedrooms featuring walk-in robes and access to a balcony. The sleek, modern kitchen is adorned with stone benchtops and Blanco appliances, overlooking the sunlit living and dining area that spills out onto a sprawling entertainer's balcony offering views of The Glen. ,Additional modern conveniences include a sizable bathroom with a separate toilet, laundry facilities, reverse-cycle split system air conditioning, electric heating, a secure undercover carpark space, and storage. The building itself ensures security with restricted entry door access, intercom, and remote control access to the basement carpark via a lift. ,The Owners Corporation Fee covers insurance and gas. With an array of excellent amenities at your fingertips, this property is an ideal addition to your investment portfolio or a haven for busy executives, international students, and content retirees alike!,Photo ID required at all open for inspections.,Disclaimer: We have in preparing this document used our best endeavors to ensure that the information contained in this document is true and accurate, but accept no responsibility and disclaim all liability in respect to any errors, omissions, inaccuracies or misstatements in this document. Prospective purchasers should make their own enquiries to verify the information contained in this document. Purchasers should make their own enquires and refer to the due diligence check-list provided by Consumer Affairs. Click on the link for a copy of the due diligence check-list from Consumer Affairs. http://www.consumer.vic.gov.au/duediligencechecklist,    ","Miles Chen,04266080...,Eddie Fu,04213396...","Property ID: ,144642040","https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/975609c7d119cf2a511661fe108222bb7d314a1eccbd6564b0e13119e3dbe03b/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/975609c7d119cf2a511661fe108222bb7d314a1eccbd6564b0e13119e3dbe03b/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/5148b8f6f3f794737f062d84838e01f1c55d99f320d53d948b11de8d2a68dc60/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/6b1911a17eef8abf34c40df638f5719b935b85537586a0dddd4c71c65d5360ff/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/c12cc7dcf1164ebe8cf9ad7da844effea130b41d83bbf6ba0580fd1f5fcb8e2b/image.jpg",https://www.realestate.com.au/property-apartment-vic-glen+waverley-144642040
"1008/23 Osullivan Road, Glen Waverley, Vic 3150","$1,188,000-$1,230,000",3,2,,2,"Welcome to ""Sky Gardens,"" where luxury living harmoniously blends with enchanting mountain vistas and the beauty of sunrise. This three-bedroom apartment transcends mere residence; it's an everyday experience that will leave you in awe.,Imagine waking up to stunning panoramic mountain views stretching as far as the eye can see, accompanied by the gentle glow of the sunrise. ""Sky Gardens"" bestows upon you the privilege of embracing the serene beauty of the mountain landscape from the comfort of your own home.,Prime Location:,Nestled in the heart of Glen Waverley, ""Sky Gardens"" offers seamless access to premium retail and entertainment options, solidifying its status as a coveted landmark address. Conveniently within walking distance to train and bus stops, enhancing your mobility.,Educational Excellence:,""Sky Gardens"" resides within the highly sought-after Glen Waverley Secondary School Zone (STSA) and Glen Waverley Primary School Zone, ensuring your family enjoys access to top-tier education.,Modern Living with World-Class Amenities:,Beyond its educational advantages, ""Sky Gardens"" boasts a wealth of amenities, including a sprawling 4,000sqm garden area, an indoor swimming pool, a fully-equipped gym, meticulously landscaped communal spaces, and more. Here, luxury seamlessly melds with grandeur, crafting an extraordinary living experience.,Your Winter Garden Awaits:,This opulent three-bedroom apartment showcases a ""winter garden,"" allowing you to enjoy the mountain views in all seasons. Use it as an indoor-outdoor retreat, seamlessly blending the beauty of nature with the comfort of indoor living.,Your Dream Home Awaits:,This opulent three-bedroom apartment showcases:,• Premium Fixtures and Fittings,• Sumptuous Timber Flooring,• High-End Miele Appliances,• Expansive Living Areas,• Luxurious Master Bedroom with Ensuite,• Sun-Drenched Interiors with Abundant Natural Light,• Energy-Efficient Double-Glazed Windows,• Secure Dedicated Car Space,• Thoughtful and Convenient Storage Solutions,• Split System Unit for Personalized Comfort,• Convenient European Laundry Facilities,""Sky Gardens"" is more than just a home; it's a lifestyle where every detail has been meticulously crafted to offer you the best in contemporary living.,Contact Ivan U, the Sky Garden specialist, for a private inspection to embark on this unparalleled living experience!","Ivan U,04323593...","Property ID: ,144276212","https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/9e92897d5f83793bbffdf3c332c664a37a5eabf5d0423c0ca04c8be00914d592/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/9e92897d5f83793bbffdf3c332c664a37a5eabf5d0423c0ca04c8be00914d592/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/5a95f4d5ee1fc2cabd56684a7725deb5a6d9b065c9b623ab3464cf8a7d9dd2db/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/19f0b16a00bb2b5926ead9581976b81228f16ac5b8959bdc81062958f06741cf/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/9f39784c17760719a4310e3446a64bcf57616990ac1ad66e81f9d0c6164e144a/image.jpg",https://www.realestate.com.au/property-apartment-vic-glen+waverley-144276212
"26  Falconer Street, Glen Waverley, Vic 3150","$3,380,000 - $3,718,000",5,4,"1,224",4,"Indulging in every aspect of design, detail and destination, this custom created home achieves luxury beyond compare on a lavish 1224 sqm approx. allotment in the Glen Waverley Secondary Zone (STSA). This house is architecturally designed by the owner. ,Crafted with quality construction methods, the home's premium layout introduces itself with a stacked stone portico entry and welcoming foyer that's fitted with cabinetry for shoes and bags and complemented by the convenience of a powder room. ,The visually striking kitchen, living and dining zone relishes breathtaking views out to Scotchmans Creek and showcases sleek floorboards, a gas log fire, stone benches/splashbacks, 900mm Electrolux oven and gas stove, an island breakfast bench plus a 2nd kitchen with walk-in pantry. ,A delightful dining terrace accompanies this space, while the lower level is perfect for in-law's or as an entertainer's haven complete with a rumpus room, 5th bedroom, 4th-bathroom, laundry, cellar and paved entertaining zone that extends onto the terraced backyard with direct access to the creek. ,Arriving on the top floor, a study area provides access through to the four remaining bedrooms including two with private ensuites and the third with ensuite effect access to the main bathroom. ,Furthermore, the home has been constructed with structural concrete to all floors and walls, steel metal studwork to basement and ground floors, bulkhead and split system heating/air conditioning, 3 phase power, 22 solar panels, remote control sheer curtains to living room, double glazing, laundry chute, dual hot water system, storage shed, remote control driveway gates plus a double carport with louver roof. ,Conveniently situated close to Syndal South Primary, Glen Waverley Secondary, Wesley College, Huntingtower School, The Glen, Monash Aquatic Centre, Syndal Station and freeways.","Julie Wells,04088857...,Alice He,04344158...","Property ID: ,144147504","https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/78119f151ebbe9a59d93e51ea8f2ba4e7bd70d72aa12ce34d1442bd4ea7a8d2e/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/cc3fe6afdd288fdf8c800c7b4d02a162dc0a905c277537395fa0b3a0b6823ffc/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/cc3fe6afdd288fdf8c800c7b4d02a162dc0a905c277537395fa0b3a0b6823ffc/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/2d9e5a1d25517c1ecd8262fb3c449c3ed15e0f653e16156fc3b36d0115a36725/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/5843ee2dace96c1ae8b9e6bdeb2f2929ee8f1ae6c5bd5167d3b5ac7ecd353432/image.jpg",https://www.realestate.com.au/property-house-vic-glen+waverley-144147504
"3 Diosma Drive, Glen Waverley, Vic 3150",$1.3M-$1.43M Renovated Family Home,4,2,650,2,"Capturing the essence of classic family living with an abundance of natural light, this fabulous home, with a north facing backyard is situated in a prized location within the sought after Brentwood Secondary School Catchment Zone (STSA). ,Polished timber floors invite you into a large formal lounge, the gas fireplace the focal point of the room. The well-appointed modern kitchen boasts quality appliances with a gas cook top, electric oven, microwave, dishwasher and plenty of bench space for any home chef. ,The second living room at the rear of the home leads outside to tranquil backyard offering magnificent botanic views, with a flowing water fountain and fishpond providing a calming space to relax. Additional outdoor areas include the enclosed, covered outdoor deck showcasing a billiard table as one of its many uses. ,Boasting generously sized bedrooms, the master offers a stylish full en-suite bathroom, while the remaining bedrooms are serviced by equally stunning main bathroom and a third separate toilet. ,Modern comforts include ducted heating, evaporative cooling, ceiling fans, solar panels, roller shutters, ample off street parking and lockup double garage. ,Within walking distance to Brentwood Secondary school, Glen Waverley South Primary school and public transport, while only a short distance to Glen Waverley train station, local parks, M1 Monash Freeway, Brandon Park Shopping Centre, Kingsway restaurant strip and The Glen.","Tony Ievoli,04228697...,Freeman Li ?,04217802...","Property ID: ,144644528","https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/8869f3d4a6d4fc83ba06fc372e3c4e60c94dcfa0190cb9b456e1689ca2a398dc/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/8869f3d4a6d4fc83ba06fc372e3c4e60c94dcfa0190cb9b456e1689ca2a398dc/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/1035f4d8e73fc441cbd8227e1fb515635647ba266aa4dec96de4c91686f6456e/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/ac9fa67f71478268206f4f01eb0bc3f72c94f818e9a109e33c7347a0de8f82a5/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/1a91c53b17b5a021122d150ae9702ff6346514f3082cf31ec513391aa3603461/image.jpg",https://www.realestate.com.au/property-house-vic-glen+waverley-144644528
"Type C1/583 Ferntree Gully Road, Glen Waverley, Vic 3150","$1,260,000 ",4,3,,2,"•	Three level townhome providing a generous 4-bedroom layout for flexible living. ,•	Spacious light filled master bedroom with generous robe and en suite.  ,•	Study nook in second bedroom on second floor  ,•	A ground floor bedroom with a bathroom opposite provides the opportunity for multi-generational family living or the added flexibility to work from home.  ,•	Rear entry two car garage allows for additional storage,•	Drying courtyard off the garage,•	Suitable for young families or upsizers who are looking for more space and flexibility, perfect investment opportunity in the centre of Glen Waverley.,Floret is a vibrant new community of premium townhouses located in Glen Waverley, available from $$1.26M.,With elevated interiors designed by award-winning architects RotheLowman and verdant landscapes by renowned ASPECT Studios, our Floret Townhouses share a rich synergy between built and natural environments.,Supporting the needs of a modern lifestyle, Floret boasts proximity to vast retail offerings, eminent public and private schools, universities and expansive green spaces.,Display suite is open by appointment.,583 Ferntree Gully Road, Glen Waverley  ,FloretHomes.com.au","04562502...,04234260...","Property ID: ,140791435","https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/59618217d1174c6b7a9d0a2c5dabf2461b751487619578ecb099e1a24100c829/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/project/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/6e7463cce821d16f522276ef6811739254bfa24f87e98ffcd99fc090cd0a8b04/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/www.realestate.com.au/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/listing/image.jpg",https://www.realestate.com.au/property-townhouse-vic-glen+waverley-140791435
"25 Glen Court, Glen Waverley, Vic 3150","$1,950,000 - $2,145,000",4,2,759,4,"Located in the double school catchments of Mount View Primary and GWSC (STSA) within moments from The Glen, this free-flowing home captures plenty of space with formal, family and leisure rooms designed for the family and detailed with Dandenong Ranges views.,Situated on 758sqm approx, this four bedrooms complete this family-friendly package. Fitted with a brilliant bank of windows, the lounge room draws your vision out to the mountains as you wander inside, connecting effortlessly through to a dining room that's accompanied by a display cabinet. A master bedroom boasting a built-in-robe and ensuite, supplemented by a neutrally toned family bathroom, powder room and laundry. The essence of the kitchen, meals and family room is open plan, while the rumpus room stretches the home out onto a covered alfresco deck and private backyard for outdoor pleasure. . The house is comforted by ducted heating, evaporative cooling plus an air conditioner, along with the added benefits of an alarm, water tank, high ceilings .,Centrally situated so you can easily walk to Mount View Primary, Glen Waverley Secondary, restaurants, The Glen Shopping Centre, buses, Glen Waverley Train Station and parkland, near Monash and EastLink Freeways.,Photo ID required at all open inspections","Zeng Shi,04095201...,Olivia Mo,04318649...","Property ID: ,144497880","https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/8ccae53f4a3218149e3de9fd907471027f3781b567bf51eede0d44f1d985de98/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/4d3741abf08e32b168c85c07277da023ccddb096925a025bc5c84e34f5378302/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/4d3741abf08e32b168c85c07277da023ccddb096925a025bc5c84e34f5378302/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/28b21e8c55baa4ad0b8ad104a5978cf1bddd7d73ea77afc8bcc1ca4844f755ba/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/65335f2850cccf5a3a5318aeb6e115c7ab5fe71ff682930b954ca3be10ab06d3/image.jpg",https://www.realestate.com.au/property-house-vic-glen+waverley-144497880
"51 Knights Drive, Glen Waverley, Vic 3150","$1,400,000 - $1,450,000",4,2,663,4,"Nestled on a sizeable 658sqm block in a leafy pocket of Glen Waverley, this beloved family sanctuary offers endless potential for astute buyers, placing its residents within minutes of vibrant shopping hubs and highly regarded schools.,Move-in ready for keen renovators with the potential for a contemporary transformation, or perfect for savvy developers (STCA) looking to capitalise on the generous land size and superb location, this solid brick veneer home is wonderfully versatile.,Opening with crisp white walls, airy high ceilings and original hardwood flooring, the property's expansive layout is awash with natural light, ,Revealing a formal living/dining room for welcoming guests, a casual family/meal zone with charming slate flooring and a flexible converted garage that serves as a spacious rumpus/studio, there's space for everyone to relax.,Placed centrally, the stone kitchen is equipped with quality 900mm appliances and ample storage for the aspiring chef, while the whisper-quiet deck is ideal for effortless entertaining or savouring a serene morning coffee.,Completing this cherished home, the huge primary bedroom is zoned for peace and privacy with a walk-in robe and soothing fully tiled ensuite, while the three remaining bedrooms feature built-in robes and access to the full monochrome bathroom.,Ducted heating and refrigerated air conditioning provide optimal comfort all year round, plus there's abundant off-street parking, solar panels for energy efficiency and even a selection of assorted fruit trees.,Benefiting from prime convenience, the home is zoned for nearby Camelot Rise Primary School and popular Highvale Secondary College, while five minutes from The Glen's shops and vibrant restaurants.,It's also close to glorious parks and wetlands, prestigious private schools and Vermont South Shopping Centre, plus moments from Glen Waverley Station and major roads for seamless city commuting.,Combining space and comfort with potential and convenience, this is an excellent opportunity in a prized location.,Property specifications:,central vacuum system,Four robed bedrooms, multiple living zones,Covered entertainers' deck and easycare leafy surrounds,Family bathroom with bath, separate w/c, shower has spa jets,Huge primary bedroom has full ensuite and walk-in robe,Stone kitchen has 900mm electric oven and gas cooktop, dishwasher,Close to shops, schools, parks, transport and freeway","Ivy Liu,04331637...,Neo Chen,04338547...","Property ID: ,144481120","https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/e53a30dc27cb6fd405ca7f1d19d99a727404ebcd808582264784fc7a56223b6b/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/aaba739ddc756e058ffaccd5886c994d2b2e67004d001eb73d48fd0facd1708b/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/aaba739ddc756e058ffaccd5886c994d2b2e67004d001eb73d48fd0facd1708b/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/daf2aafbc6880be39aef743bac2d2db3eb0571006d5a7e9fe5902e0212e5e691/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/30cee7d6347dce19fa89b149220b430e11844bca535a804fe83251e773ed1ab4/image.jpg",https://www.realestate.com.au/property-house-vic-glen+waverley-144481120
