address,price,bed,bath,area,car_spaces,specification,agents,property_id,pictures
"9  Pindari Street, Glen Waverley, Vic 3150",SOLD,4,2,783,2,"This spacious family home sits on a quiet and leafy street. It offers 4 generous sized bedrooms all with built-in robes. Master bedroom comes with ensuite. Other features include: Modern kitchen with well-equipped appliances. 2 large living / family areas. Separate meals and dining area. Central bathroom. Central heating and cooling. Large backyard with storage shed. ,Alternatively, bring a new vision to this beautifully proportioned block and construct your dream home or multiple townhouses (STCA) on 783 sqm (approx.), in a Blue-chip pocket within the esteemed Glen Waverley Primary and GWSC catchments, a walk to The Glen, Kingsway, train station, Wesley College and parklands.","Julie Wells,04088857...,Alice He,04344158...",144385896,"https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/fc156933f2efeaaa41237bfe04dc50d7ba115c45e7840ef14a05f9f99e159aa5/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/4729f8b7dc906e270133efc834057c7e2fe01474ad7ce71868a0d96ff96cb21a/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/4729f8b7dc906e270133efc834057c7e2fe01474ad7ce71868a0d96ff96cb21a/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/2aa71f4ca8825a99aa48a6d69c3fc7d84a1e442443a31928deecd0e209ba3e89/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/1f6470674bc363f0a59f21f91859daa3fae450cdceb02c65cbc8f62287734a57/image.jpg"
"46 Madeline Street, Glen Waverley, Vic 3150",OPEN THIS THURSDAY - 5PM to 5:30PM,4,2,726,2,"This elevated, large family home on a generous 726m2 corner block is a rare find!,In the coveted Glen Waverley Secondary College zone, only a short walk away, this North Facing home positioned on the high side of the street is only footsteps from everything you could need.,Come see to appreciate its generous proportions catering to the whole family and just perfect for renovation, or start again with a magnificent new home or multi-unit development (STCA).,This property includes 4 generous sized bedrooms, 2 bathrooms including master with complete walk-in robe and ensuite. Multiple living areas and huge wraparound balcony with stunning mountain views complete with a large 20m approx. street frontage and elevated corner block.,Offering a quiet location complete with views of the Dandenong mountains, buy with confidence knowing you are so close to The Glen shopping centre just a short 2 minutes stroll away including Kingsway dining precinct, top schools including Wesley College, train station, Monash Freeway and a lot more. Don't miss out!","Kathleen Kuang,04395527...,Sam Rossello,04117590...",143241612,"https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/24d04faad483800b4ffcbf4a866b7b00bc1195d036603cad63801468e6fa1f68/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/35a3e1d1631b41cf76d430468852499625a573bd0f082d28bb13848e5b83e7c9/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/35a3e1d1631b41cf76d430468852499625a573bd0f082d28bb13848e5b83e7c9/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/278f57421d0036770064a783f5e50103f7ba7d93d5d8929692da986db98665bf/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/b4454d6ef24314fe5e4c69e34cae0224309bc72c89d29ca24f1b3f06ffe1ab35/image.jpg"
"2/4 Durward Avenue, Glen Waverley, Vic 3150","FOR SALE $1,080,000",3,2,252,1,"A gleaming showcase of style and space, this single level unit sits privately at the rear and provides the perfect family start, downsize or investment in the Pinewood Primary and Glen Waverley Secondary Catchments (STSA). Light-filled and alluring, the open plan living, dining and kitchen is generously sized and incorporates the benefits of a Whirlpool oven, Whirlpool gas stove, Technika dishwasher plus a breakfast bench. Sliding doors provide a welcome introduction to the courtyard, here you find a covered deck for entertaining alongside a lengthy, synthetic turf yard where children can play. Down the hallway, the three bedrooms are all robed and include a master bedroom with walk-in-robe and ensuite, further complemented by a family bathroom, powder room and full-sized laundry. Furthermore, the home boasts ducted heating, evaporative cooling, alarm, high ceilings plus a single garage with internal access and rear roller door. Conveniently set, close to Pinewood Primary, Glen Waverley Secondary, Holmesglen Institute, Monash Aquatic and Recreation Centre, Central Reserve, Pinewood Village, The Glen Shopping Centre, buses, Glen Waverley Station plus EastLink and Monash Freeway. ,Photo ID required at all open for inspections.","Darryl Wickham,04105547...,Alan Zhang,04022000...",144272028,"https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/017d38a67f8b1247f33ceac2d27a7b1281b6f04d337e10e8da78131ffbb3b9ed/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/017d38a67f8b1247f33ceac2d27a7b1281b6f04d337e10e8da78131ffbb3b9ed/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/2b58aa0aedfdf75b24133489658be5627fd28b30b8562502f8c8f478402fadcd/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/8ab4e88dd0b254aac09c2fd586a63031795f5a2e0705cc9c3aa29b757475e5a1/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/2d02ae80130e6b77aa8f57bc1a8f36919f256736017fed7237c47e0c98d6143b/image.jpg"
"857 Waverley Road, Glen Waverley, Vic 3150",Private Sale | Contact Agent,3,2,704,2,"Deceptively spacious and centered around open plan enjoyment, this single level home spans an impressive 659sqm approx. allotment and offers comfort for the family in the Mount View Primary and Brentwood Secondary Zones.,Only moments from local shops and Jells Park, the home’s design delivers flexibility with the formal lounge room providing space to create a 4th bedroom, while the kitchen, dining and family room offers plenty of space to relax.,Property Highlights:,•	Three oversized bedrooms, all with robes including the master bedroom that boasts a walk-in-robe and ensuite,•	Neatly presented family bathroom with separate toilet,•	Massive bedroom-sized laundry with storage and workbench,•	Generous formal lounge room/potential 4th bedroom,•	Kitchen complemented by a privacy ledge and featuring a gas stove, Bosch oven and Asko dishwasher,•	Open plan dining and family room embracing polished floorboards plus a combustion fireplace,•	Alfresco zone capturing afternoon sunshine and spanning out to the backyard,•	Enriched with ducted heating and split system air conditioning for comfort,•	Further benefitting from an alarm, storage shed and double garage,Local Attractions:,•	Zoned to Mount View Primary and Brentwood Secondary,•	Meters from local shops, buses and Jells Park,•	Close to Caulfield Grammar, The Glen Shopping Centre and Glen Waverley Station,•	Convenient access to EastLink and the Monash Freeway","Jessica Chea,03956039...",144269496,"https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/4af585ad333cc1aab0e6039b92cf27f13e73252119df17127b477c65d8555ead/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/2aaab8f7825c98b546d1092ba979f7c03bcbaeed9e6000ac9a4a9098817b7999/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/2aaab8f7825c98b546d1092ba979f7c03bcbaeed9e6000ac9a4a9098817b7999/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/076d4ab86f4876ce39c10d8f7173488f6b937149c75feb3b061fb84735683945/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/180b0c4e724fcc4565bc41f545be4338b084ca390e0a804cc73c20464eb763cf/image.jpg"
"Type B4A/583 Ferntree Gully Road, Glen Waverley, Vic 3150","$1,475,000",4,3,207,2,"•	Three level, three bedrooms with an additional flexi room townhome provides generous living space with large glass doors that open to an entertainer’s backyard. ,•	This townhome is one of the larger residences in the estate. ,•	Spacious master bedroom with WIR ,•	Three additional upstairs bedrooms with a large family bathroom,•	Separate laundry room,•	Double garage,•	Abundant amount of storage and cupboards throughout including a outdoor shed,•	Large, landscaped backyard with paved courtyard,•	Suited for downsizers, upsizers or maturing families.,Floret is a vibrant new community of premium townhouses located in Glen Waverley, available from $126M.,With elevated interiors designed by award-winning architects RotheLowman and verdant landscapes by renowned ASPECT Studios, our Floret Townhouses share a rich synergy between built and natural environments.,Supporting the needs of a modern lifestyle, Floret boasts proximity to vast retail offerings, eminent public and private schools, universities and expansive green spaces.,Display suite is open by appointment.,583 Ferntree Gully Road, Glen Waverley  ,FloretHomes.com.au","(03) 901...,04234260...",140791955,"https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/59618217d1174c6b7a9d0a2c5dabf2461b751487619578ecb099e1a24100c829/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/project/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/6e7463cce821d16f522276ef6811739254bfa24f87e98ffcd99fc090cd0a8b04/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/www.realestate.com.au/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/listing/image.jpg"
"11 Ralton Avenue, Glen Waverley, Vic 3150",Contact Agent,5,5,742,2,"Overflowing with luxury and lavished with premium style and space, this brand new masterpiece sits in a class of its own and captures breathtaking city skyline views in the Mount View Primary and Glen Waverley Secondary zones (STSA). ,Indulging at every turn, the home's grandeur begins with a landscaped front garden and double entry doors that open to reveal a sumptuous foyer and formal lounge room that's detailed with parquetry flooring. ,Resting beneath 3.6-meter high ceilings, the kitchen, dining and family room flaunts first-class finishes and showcases a gas log fire, marble benches/splashbacks and Bosch appliances (induction stove, double ovens and integrated dishwasher) all centered around an island breakfast bench. ,The butler's pantry has been fitted as a fully functioning 2nd kitchen complete with a Fotile gas stovetop and Bosch oven, while the open plan domain spills out onto an alfresco zone with outdoor meal preparation space overlooking the landscaped backyard boasting mature plants. ,Adding to the indulgence, the home features a theatre room with projector and screen plus an upstairs rumpus room that's accompanied by a wet bar/coffee station and balcony where you can relish those city views. ,Flaunting luxury, the five bedrooms all feature walk-in-robes and ensuites, with the master bedroom boasting a study, fitted walk-in-robe, balcony and designer ensuite boasting twin vanities, a freestanding tub, rainfall shower and floor-to-ceiling tiles. ,Quality additions include a luxe powder room, laundry, golden hued tapware, ducted heating/air conditioning, double glazing, ducted vacuum, wall paneling, high ceilings, video intercom, CCTV, alarm plus a double garage with internal access and remote-control gated driveway. ,Capped off by its prized placement, walking distance to Mount View Primary, Glen Waverley Secondary, The Glen shopping centre, Glen Waverley station and the Kingsway restaurant hub. ","Julie Wells,04088857...,Alice He,04344158...",144076360,"https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/9ad5ad4432e09b8b4a73304320fcb5e710357e20e12ff4aec83657f5d6e543f8/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/7574f61042beee03b6aa386be4793257566c517e0a602be5eebf4a1d6e709a54/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/7574f61042beee03b6aa386be4793257566c517e0a602be5eebf4a1d6e709a54/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/882edb69ce5eb497a8c87b1d5b7f907b6b2ab71a4e3a9557edc991fa38acccd8/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/c3d6c7d055868a18532ab4df4ff34e7167b27c3b7a2f5a3f2ce52a49b834454a/image.jpg"
"1/41 Coleman Parade, Glen Waverley, Vic 3150","$1,100,000-$1,200,000",3,1,83,2,"Nestled in a serene spot near Syndal train station, this luminous and modern residence is a testament to elegance and spacious living, perfectly catering to family life within the highly sought-after Glen Waverley Secondary Zone. Designed for comfort and style, this home boasts an open-plan living space that integrates the living room, dining area, and kitchen, creating a seamless flow ideal for family interactions and entertainment. High ceilings throughout add a touch of grandeur. ,The kitchen is a highlight, equipped with top-tier stainless steel appliances including a Miele oven and a potent Miele rangehood, complemented by a dishwasher, extensive storage, and chic stone countertops. Climate control is effortless with zoned split system air conditioning, ensuring comfort in any season. Windows in the kitchen and expansive floor-to-ceiling windows in the living area flood the space with natural light.,A secluded balcony off the living room provides a peaceful nook for enjoying a coffee and soaking in the serene atmosphere, courtesy of the fresh air. The low-maintenance front yard is designed for minimal upkeep, facilitating effortless outdoor enjoyment. Positioned within a short walk from cafes, restaurants, and the Syndal station, and near esteemed schools, parks, and a mere 5-minute drive to ""The Glen"" shopping center, this home melds modern amenities with an exceptional location, crafting an unparalleled living experience.,The nearby educational resources are abundant, with the townhouse not only situated within the highly sought-after Glen Waverley Secondary College zone but also close to the prestigious private school, Wesley College.,Step into a world where luxury meets convenience. This townhouse are not just a place to live; It is a lifestyle choice for discerning individuals who demand the very best. Book your viewing today and unlock the door to your dream home at U1/41 Coleman Parade, Glen Waverley.,For more information please contact Smart Listing :,Richard｜0435 495 908,Leo｜0452 478 066,***We take you to your dream homes***","Richard LING,04354959...,Leo LIN,04524780...",144638600,"https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/802fbcc827ad6dc98ae24949e9ecf582caa34cefe4ebd71db5df937b132757c2/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/802fbcc827ad6dc98ae24949e9ecf582caa34cefe4ebd71db5df937b132757c2/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/ee80a645ba4e3ee2b0767b4a4216e11661aa3406f40609b1523968e73faea663/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/7f6acb1ef69e55560d6c43703b5ba807db147a20e10ce7b906a7cffa27f88c5b/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/1758ba9783dd126e2771e8ec204a00014c2cdd4422031f10dd493731cc4df394/image.jpg"
"7 The Outlook, Glen Waverley, Vic 3150",Contact Agent,5,2,707,2,"On a generous corner block measuring 707 sqm (approx.), and flaunting strong elements of postmodern design with large living areas, this 5 bedroom, 2 bathroom home offers a range of living options sure to catch the eye of a wide range of admirers.,This home consists of 4 large bedrooms including 3 of those with built-in robes, while a 5th bedroom in the rear wing is an ideal master bed with WIR, ensuite, and verandah overlooking an internal courtyard. Alternatively, this wing is well-suited for independent living with a fully equipped 2nd kitchen with quality appliances.,An inviting lounge and family room share a central open fireplace complete with stone counter, while the galley-style kitchen boasts a stainless steel Iive gas cooktop, oven & grill, dishwasher, and endless amounts of practical storage. Enjoy sun-filled days in the expansive dining area with its large cedar doors and windows offering views to a private courtyard, while a smaller meals areas caters for the daily routine.,Further home attributes include a central bathroom with stone-top vanity, shower, and a deep bath, a sunken study with exposed beams and rough-cut brick feature wall, courtyard entries front and rear with established gardens, double garage with remote and dedicated workshop, storage shed, separate laundry, ducted heating, and reverse cycle cooling.,Zoned for Glen Waverley Secondary College and Mount View Primary School, and in walking distance to Glen Waverley Station and The Glen Shopping Centre.","Ryan Yan,04141452...,04811647...",143382364,"https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/370f2b5b261ef78c96b4b021bdf3f81efd957dd803c7a4722049cfacbc8d863b/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/51910ae8a38eb463f298f40d3d3341ce80e642f0e9c2b7561ddfa3783276d0cf/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/51910ae8a38eb463f298f40d3d3341ce80e642f0e9c2b7561ddfa3783276d0cf/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/9b34b772ec385b5e4fc105f02516f6b943f64d3ba8b0b113f34eda191261c1f3/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/f875964c01310424af62c471f81f080841d308e9f11c9a6b595133d5b1c89eef/image.jpg"
"Type C1/583 Ferntree Gully Road, Glen Waverley, Vic 3150","$1,260,000",4,3,207,2,"•	Three level townhome providing a generous 4-bedroom layout for flexible living. ,•	Spacious light filled master bedroom with generous robe and en suite.  ,•	Study nook in second bedroom on second floor  ,•	A ground floor bedroom with a bathroom opposite provides the opportunity for multi-generational family living or the added flexibility to work from home.  ,•	Rear entry two car garage allows for additional storage,•	Drying courtyard off the garage,•	Suitable for young families or upsizers who are looking for more space and flexibility, perfect investment opportunity in the centre of Glen Waverley.,Floret is a vibrant new community of premium townhouses located in Glen Waverley, available from $$1.26M.,With elevated interiors designed by award-winning architects RotheLowman and verdant landscapes by renowned ASPECT Studios, our Floret Townhouses share a rich synergy between built and natural environments.,Supporting the needs of a modern lifestyle, Floret boasts proximity to vast retail offerings, eminent public and private schools, universities and expansive green spaces.,Display suite is open by appointment.,583 Ferntree Gully Road, Glen Waverley  ,FloretHomes.com.au","04562502...,04234260...",140791435,"https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/59618217d1174c6b7a9d0a2c5dabf2461b751487619578ecb099e1a24100c829/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/project/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/6e7463cce821d16f522276ef6811739254bfa24f87e98ffcd99fc090cd0a8b04/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/www.realestate.com.au/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/listing/image.jpg"
"Type B6/583 Ferntree Gully Road, Glen Waverley, Vic 3150","$1,565,000",4,3,207,2,"•	A lovely east/west orientated double storey townhome with north facing windows,•	Well defined layout with individual dining and living space that opens to a balcony ,•	A multi-purpose room on the ground floor provides flexibility to be used as a study or home office.,•	A powder room and laundry are positioned on the ground floor,•	Double garage,•	Generous storage throughout including a storage shed in the back courtyard. ,•	Suitable for those looking to upsize or for maturing families that require additional space,Floret is a vibrant new community of premium townhouses located in Glen Waverley, available from $1.26M.,With elevated interiors designed by award-winning architects RotheLowman and verdant landscapes by renowned ASPECT Studios, our Floret Townhouses share a rich synergy between built and natural environments.,Supporting the needs of a modern lifestyle, Floret boasts proximity to vast retail offerings, eminent public and private schools, universities and expansive green spaces.,Display suite is open by appointment.,583 Ferntree Gully Road, Glen Waverley  ,FloretHomes.com.au","04234260...,(03) 901...",140791835,"https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/59618217d1174c6b7a9d0a2c5dabf2461b751487619578ecb099e1a24100c829/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/project/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/6e7463cce821d16f522276ef6811739254bfa24f87e98ffcd99fc090cd0a8b04/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/www.realestate.com.au/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/listing/image.jpg"
"14 Kawana Crescent, Glen Waverley, Vic 3150",Private Sale | Contact Agent,4,2,704,2,"Commanding an incredible indoor-outdoor ambience with a brilliant visual connection between the formal and family zones and alfresco entertaining, this spacious home is a real delight in the Mount View Primary and Brentwood Secondary Zones (STSA).,Occupying a 703sqm approx. allotment, the home’s dimensions easily cater for the growing family with four robed bedrooms accompanied by a study area and complemented by an ensuite and family bathroom.,Property Highlights:,•	Four robed bedrooms, including a master bedroom with built-in-robes and ensuite,•	Central family bathroom and 2-way toilet,•	Study room conveniently set just beside the front door,•	Sunken formal lounge room boasting a bank of windows and open fireplace,•	Designated formal dining area with access to alfresco zone,•	Open plan meals and family room,•	Neatly presented kitchen adorned with Westinghouse wall oven, Westinghouse stove, Omega dishwasher, double sinks plus a breakfast bench,•	Generous alfresco entertaining zone,•	Family-sized laundry,•	Comforted by ducted heating and split system air conditioning,•	Additionally complemented by a double garage and paved driveway,Local Attractions:,•	Zoned to Mount View Primary and Brentwood Secondary College,•	Moments from Caulfield Grammar and Jells Park,•	Close to The Glen Shopping Centre, buses and Glen Waverley Station,•	Central to EastLink and Monash Freeway","Chris Feng,03956039...",144270336,"https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/351f54355f5f8a1331bc7fea3eb432c0fca7aa93d34902388c30700aaa7b504a/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/91573021176918d425b9a41bdb54b1be619c2ef73cc2e88cda51c5c950b760eb/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/91573021176918d425b9a41bdb54b1be619c2ef73cc2e88cda51c5c950b760eb/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/0d3e722ebc49d030f09fde2115eb3beb405513319d61b6d3fa2230f10f916e14/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/4f86a2beb1106dbe584f0fe7a6dae01fc81f006e70e5be72b6fd7cc005662313/image.jpg"
"TYPE A3/583 Ferntree Gully Rd, Glen Waverley, Vic 3150","$1,395,000",3,3,226,2,"• Three level townhome providing a generous spacious layout for flexible living.,• A beautiful walk-in wardrobe in the second bedroom ,• A ground floor second living with a bathroom next to it provides the opportunity for multi-purpose family entertainment or the added flexibility to work from home.,• Drying courtyard off the garage,• Suitable for first home buyer, young families, downsizers or upsizers who are looking for more space and flexibility, perfect investment opportunity in the centre of Glen Waverley.,Floret is a vibrant new community of premium townhouses located in Glen Waverley, available from $995k.,With elevated interiors designed by award-winning architects RotheLowman and verdant landscapes by renowned ASPECT Studios, our Floret Townhouses share a rich synergy between built and natural environments.,Supporting the needs of a modern lifestyle, Floret boasts proximity to vast retail offerings, eminent public and private schools, universities and expansive green spaces.,Display suite is open by appointment. Please contact our sales team to book inspection.,Display Address: 583 Ferntree Gully Road, Glen Waverley,FloretHomes.com.au","04562502...,04234260...",143721120,"https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/59618217d1174c6b7a9d0a2c5dabf2461b751487619578ecb099e1a24100c829/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/project/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/6e7463cce821d16f522276ef6811739254bfa24f87e98ffcd99fc090cd0a8b04/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/www.realestate.com.au/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/listing/image.jpg"
"3 Yanina Court, Glen Waverley, Vic 3150",Private Sale | Open This Saturday @ 2pm,4,3,"1,071",2,"Savouring the serenity of its whisper-quiet court setting, this spectacular Tuscan-inspired sanctuary combines unique light-filled interiors with an impeccable entertainers' oasis, creating a life of luxury for a growing family.,Capturing glorious views to the hills, the home's beautifully manicured frontage frames the crisp white facade and terracotta-tiled roof, opening to reveal an expansive split-level layout with soaring ceilings, porcelain tiles and a contemporary colour palette.,Showcasing multiple living zones across both floors, there's plenty of space for relaxing, dining and entertaining, as several balconies, a beautiful courtyard and elevated verandah gaze out to the glistening lap pool, firepit area and pristine garden.,The vibrant hub of the home is undoubtedly the shaker-style kitchen with its quality 900mm appliances and abundant storage, while the upper floor also includes an oversized master suite, a private secondary bedroom and deluxe spa bathroom.,Continuing the sumptuous appeal via a sophisticated wrought-iron staircase, the lower level boasts two additional bedrooms, a study area and second family bathroom, plus there's an incredible rustic entertainers' haven with a bar and cellar that's reminiscent of a winery in the Italian countryside.,Boosting comfort levels, this character-filled home benefits from ducted heating and split-system air conditioning, while additional features include elegant chandelier lighting, French doors, parquetry flooring and a secure double garage.,Promising a lifestyle of convenience, this stunning property is placed within a stroll of Mount View Primary School, while moments from Brentwood Secondary College and prestigious private schools.,It's also close to The Glen, several sprawling parks and Glen Waverley Golf Course, while proximity to Glen Waverley Station and the Monash Freeway ensures easy city commuting.,Imagine a life of Italian-inspired luxury and then make it a reality with this dream forever home.","Daniel Paola,04099484...,Julie Wells,04088857...",144359672,"https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/e2f53058d7e6519da572a864d74422fe52633277b6923ca2ad5309ea520e18aa/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/7c04c114382178ec86f0ad9feb826fd0cc94091662c01fafe00944f8c2ff5f7b/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/7c04c114382178ec86f0ad9feb826fd0cc94091662c01fafe00944f8c2ff5f7b/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/3b17c182eb0039b357ba7f480e9672caebfcb88a777711299f8dce84458e6113/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/d12f2b8de56281a1c91fb1cfc327e7305197758156206d05192db96762be77fb/image.jpg"
"1 Newnham Court, Glen Waverley, Vic 3150",Contact Agent,3,1,770,2,"Immediately liveable with the perfect fusion of position and potential, this classic one-owner home provides a functional interior with excellent scope to renovate, rebuild or redevelop on 770sqm approx. in the Brentwood Secondary Zone (STCA). ,Placed in the bowl of a quiet court, the home's traditional dimensions embrace the benefits of three robed bedrooms, accompanied by a family bathroom, separate toilet and laundry with double trough. ,The L-shaped lounge and dining room is enriched with corner windows and flows through to the kitchen and meals zone, while a large sunroom extends out onto the level backyard. ,Adding appeal, the home comes complete with ducted heating, split system air conditioning, security shutters plus a side driveway leading to an oversized double garage. ,Positioned within close proximity to Glen Waverley South Primary, Brentwood Secondary, Monash Aquatic Centre, Central Reserve, Brandon Park Shopping Centre, The Glen, buses running along Springvale Rd, Glen Waverley Station and freeways. ","Ryan Yan,04141452...,Tony Ievoli,04228697...",144139692,"https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/c3238805261e1926e1625527e41583e95811b007b8c2317da42d84e68e222e73/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/209021deb5f8affaec1b9980973b2237fd82e9096c9307e566079a81a96f0b4a/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/209021deb5f8affaec1b9980973b2237fd82e9096c9307e566079a81a96f0b4a/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/4f1db2a2abac27c805e3107a83e9e4482eb91a7de0ec3f59389a1ee9fe2ae21b/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/b642eaded2c7933aefdd65f671e6dafff7983c39db320318c22b99bb3311abe5/image.jpg"
"80 King Arthur Drive, Glen Waverley, Vic 3150",Contact Agent,4,1,646,2,"Lovingly maintained by the same owner since built, this welcoming family home provides enduring comfort, unique style and alluring corner potential. Exposed beams and a soaring curved roof add a rustic ambience to a cosy lounge, flowing through to a modern kitchen featuring Miele/Asko appliances and stone surfaces, and a spacious living/dining domain with fireplace and access to the entertaining deck. 3 robed bedrooms are serviced by an immaculate bathroom, and enhanced by split system heating/AC, study, shed and double carport. Desirable land dimensions of 646sqm (approx) deliver exciting future potential, with the possibility of building your dream home or multiple townhouses with individual street frontages (STCA). Zoned for Highvale Secondary College, moments to transport, The Glen, Shepherds Bush walk, Wesley College, Camelot Rise Primary, Jells Park and East Link.","Calvin Huang,04336257...,JJ Mei,04322955...",144519148,"https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/861ae49483e82a8febdfc453e94e92a2d7bb0ede84e889f9bb538979dae31985/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/e4b938e55a3f289548e525d42973d9b0f56a573d107791b79dfb2184f2fc59da/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/e4b938e55a3f289548e525d42973d9b0f56a573d107791b79dfb2184f2fc59da/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/9a00a5c9ba8d6c75bfee1da79ab48685b3c1b1d1a2c9c125e36c5e2c8f021e27/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/29dc27dd93778279b96f3b78e79b3a566413cb438974c0b98db93368c3798d10/image.jpg"
